Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
447.7,15.765,-420.3,-5.82
448.25,15.797,-422.5,-6.18
448.8,15.83,-417.7,-5.39
449.35,15.862,-425.4,-6.66
449.9,15.894,-420.8,-5.91
450.45,15.927,-421.1,-5.96
451,15.96,-424.1,-6.46
451.55,15.994,-426.8,-6.9
452.1,16.029,-425.9,-6.76
452.65,16.063,-420.9,-5.94
453.2,16.096,-421.9,-6.1
453.75,16.129,-421.7,-6.07
454.3,16.162,-422.6,-6.22
454.85,16.196,-429.8,-7.41
455.4,16.231,-423.9,-6.44
455.95,16.266,-421.9,-6.12
456.5,16.299,-425.8,-6.76
457.05,16.334,-426,-6.79
457.6,16.369,-425.7,-6.75
458.15,16.404,-426.4,-6.86
458.7,16.44,-434.2,-8.15
459.25,16.478,-427.5,-7.05
459.8,16.516,-429.9,-7.44
460.35,16.553,-428.1,-7.15
460.9,16.589,-426.1,-6.82
461.45,16.626,-438.3,-8.83
462,16.665,-429.4,-7.37
462.55,16.705,-434.5,-8.21
463.1,16.744,-433.9,-8.11
463.65,16.784,-434.6,-8.23
464.2,16.825,-439.3,-9
464.75,16.867,-431.6,-7.74
465.3,16.907,-432,-7.8
465.85,16.947,-435.5,-8.38
466.4,16.986,-429.4,-7.38
466.95,17.025,-437.2,-8.66
467.5,17.066,-429.5,-7.4
468.05,17.105,-441.5,-9.37
468.6,17.148,-436.2,-8.5
469.15,17.19,-435.6,-8.4
469.7,17.233,-439.9,-9.11
470.25,17.275,-435.5,-8.39
470.8,17.318,-439.7,-9.08
471.35,17.361,-442.5,-9.54
471.9,17.407,-442.1,-9.47
472.45,17.453,-442.1,-9.47
473,17.499,-443.5,-9.7
473.55,17.545,-433.9,-8.13
474.1,17.586,-439,-8.97
474.65,17.63,-443.7,-9.74
475.2,17.676,-438.6,-8.9
475.75,17.72,-438.4,-8.87
476.3,17.764,-442.5,-9.54
476.85,17.81,-444.2,-9.82
477.4,17.857,-443.1,-9.64
477.95,17.903,-440.5,-9.21
478.5,17.949,-440.7,-9.25
479.05,17.993,-438.8,-8.94
479.6,18.037,-440.3,-9.18
480.15,18.082,-441.9,-9.45
480.7,18.128,-441.7,-9.41
481.25,18.174,-441.4,-9.36
481.8,18.219,-442.3,-9.51
482.35,18.266,-441.6,-9.4
482.9,18.312,-447.4,-10.35
483.45,18.361,-437.2,-8.67
484,18.405,-440.8,-9.26
484.55,18.449,-436.5,-8.56
485.1,18.493,-444.8,-9.92
485.65,18.54,-440.5,-9.21
486.2,18.586,-442.9,-9.61
486.75,18.632,-441.4,-9.36
487.3,18.678,-439.3,-9.02
487.85,18.723,-443.4,-9.69
488.4,18.769,-438.2,-8.84
488.95,18.815,-446,-10.12
489.5,18.862,-441.3,-9.34
490.05,18.908,-435.8,-8.44
490.6,18.953,-447.9,-10.43
491.15,19.001,-444.6,-9.89
491.7,19.049,-436.3,-8.52
492.25,19.093,-442.5,-9.54
492.8,19.139,-441.3,-9.34
493.35,19.185,-432,-7.81
493.9,19.226,-442.6,-9.55
494.45,19.272,-438.7,-8.91
495,19.317,-445.1,-9.96
495.55,19.365,-440.2,-9.16
496.1,19.411,-443.8,-9.75
496.65,19.458,-443,-9.62
497.2,19.506,-446.5,-10.19
497.75,19.555,-441.5,-9.37
498.3,19.603,-446.5,-10.19
498.85,19.652,-444.9,-9.93
499.4,19.7,-438.9,-8.94
499.95,19.746,-438.3,-8.84
500.5,19.79,-436.4,-8.53
501.05,19.834,-442.4,-9.51
501.6,19.881,-448,-10.43
502.15,19.931,-444.2,-9.81
502.7,19.979,-441.7,-9.4
503.25,20.026,-439.5,-9.04
503.8,20.072,-442.1,-9.46
504.35,20.118,-437.5,-8.71
504.9,20.163,-444.1,-9.79
505.45,20.21,-440.6,-9.22
506,20.257,-442.5,-9.53
506.55,20.304,-443.5,-9.69
507.1,20.352,-443.7,-9.72
507.65,20.401,-446.5,-10.18
508.2,20.45,-438.8,-8.92
508.75,20.496,-438.3,-8.83
509.3,20.541,-441.2,-9.31
509.85,20.587,-442.3,-9.49
510.4,20.635,-443.3,-9.65
510.95,20.683,-443.2,-9.64
511.5,20.731,-439.5,-9.03
512.05,20.776,-441.5,-9.36
512.6,20.823,-441.8,-9.41
513.15,20.87,-442.2,-9.47
513.7,20.918,-441.7,-9.39
514.25,20.965,-446.3,-10.14
514.8,21.015,-440.9,-9.25
515.35,21.062,-442.5,-9.52
515.9,21.109,-437.8,-8.74
516.45,21.155,-439.7,-9.06
517,21.201,-445.6,-10.02
517.55,21.25,-445.7,-10.04
518.1,21.3,-440.6,-9.2
518.65,21.346,-436.9,-8.59
519.2,21.39,-432.8,-7.92
519.75,21.435,-446.1,-10.1
520.3,21.482,-443.7,-9.71
520.85,21.531,-438.8,-8.9
521.4,21.578,-443.3,-9.64
521.95,21.626,-446.2,-10.12
522.5,21.676,-442.9,-9.57
523.05,21.724,-439.2,-8.96
523.6,21.77,-437.7,-8.72
524.15,21.815,-436.2,-8.47
524.7,21.859,-442,-9.42
525.25,21.907,-440.3,-9.14
525.8,21.953,-443.1,-9.6
526.35,22.002,-442.2,-9.45
526.9,22.05,-444.4,-9.82
527.45,22.099,-445.4,-9.98
528,22.15,-443.5,-9.67
528.55,22.199,-438.3,-8.81
529.1,22.244,-445.8,-10.04
529.65,22.295,-445,-9.91
530.2,22.345,-435.6,-8.36
530.75,22.389,-440.3,-9.14
531.3,22.436,-442,-9.41
531.85,22.483,-437.9,-8.74
532.4,22.529,-440.8,-9.22
532.95,22.577,-445.1,-9.92
533.5,22.626,-439.5,-9
534.05,22.674,-445.5,-9.98
534.6,22.723,-441.7,-9.36
535.15,22.772,-443.3,-9.62
535.7,22.821,-441.9,-9.39
536.25,22.869,-444,-9.73
536.8,22.918,-442.9,-9.55
537.35,22.967,-440.2,-9.11
537.9,23.014,-436.1,-8.43
538.45,23.059,-438.6,-8.84
539,23.104,-434.9,-8.23
539.55,23.149,-439.5,-8.99
540.1,23.195,-440.7,-9.19
540.65,23.242,-438.3,-8.79
541.2,23.289,-447.2,-10.25
541.75,23.34,-441.8,-9.36
542.3,23.388,-439.3,-8.95
542.85,23.435,-441.3,-9.28
543.4,23.483,-437.7,-8.69
543.95,23.529,-438.9,-8.88
544.5,23.575,-439.9,-9.05
545.05,23.622,-437.4,-8.64
545.6,23.668,-439.3,-8.95
546.15,23.715,-441.4,-9.29
546.7,23.763,-441.8,-9.36
547.25,23.812,-448.1,-10.39
547.8,23.864,-445.4,-9.95
548.35,23.916,-443.4,-9.62
548.9,23.965,-442.8,-9.52
549.45,24.015,-449.3,-10.58
550,24.069,-443.8,-9.68
550.55,24.119,-442.1,-9.4
551.1,24.168,-440,-9.05
551.65,24.216,-439.7,-9
552.2,24.263,-444.3,-9.76
552.75,24.314,-441.7,-9.33
553.3,24.363,-446.2,-10.07
553.85,24.415,-446.4,-10.1
554.4,24.467,-433.5,-7.98
554.95,24.511,-439.7,-8.99
555.5,24.558,-445.2,-9.9
556.05,24.609,-447.1,-10.21
556.6,24.662,-446.2,-10.06
557.15,24.714,-445.6,-9.96
557.7,24.766,-445.2,-9.89
558.25,24.818,-443.1,-9.54
558.8,24.868,-444.9,-9.84
559.35,24.919,-442.2,-9.39
559.9,24.969,-444.9,-9.83
560.45,25.02,-445.6,-9.95
561,25.072,-444.9,-9.83
561.55,25.123,-442,-9.35
562.1,25.173,-442,-9.35
562.65,25.223,-447.2,-10.21
563.2,25.276,-448.9,-10.48
563.75,25.33,-447.9,-10.32
564.3,25.384,-443.2,-9.54
564.85,25.435,-445.2,-9.87
565.4,25.487,-445,-9.84
565.95,25.538,-444,-9.67
566.5,25.589,-443.2,-9.54
567.05,25.64,-441.8,-9.3
567.6,25.69,-447.2,-10.19
568.15,25.743,-446.2,-10.02
568.7,25.795,-443.2,-9.53
569.25,25.847,-448.9,-10.47
569.8,25.9,-439.6,-8.93
570.35,25.95,-443.7,-9.61
570.9,26,-447.3,-10.2
571.45,26.053,-439.9,-8.98
572,26.103,-445.2,-9.85
572.55,26.154,-445.9,-9.96
573.1,26.207,-441.1,-9.17
573.65,26.257,-448.6,-10.4
574.2,26.311,-445.9,-9.96
574.75,26.364,-440.2,-9.02
575.3,26.413,-445.8,-9.94
575.85,26.465,-442.2,-9.34
576.4,26.516,-443.7,-9.59
576.95,26.567,-446,-9.96
577.5,26.62,-447.4,-10.19
578.05,26.674,-446.9,-10.11
578.6,26.727,-440.5,-9.05
579.15,26.777,-443.1,-9.48
579.7,26.828,-444.6,-9.72
580.25,26.88,-447.1,-10.13
580.8,26.933,-443.8,-9.59
581.35,26.985,-444.8,-9.75
581.9,27.037,-444.5,-9.7
582.45,27.09,-445.9,-9.93
583,27.142,-441.6,-9.22
583.55,27.192,-439,-8.79
584.1,27.24,-435.9,-8.28
584.65,27.287,-439.3,-8.84
585.2,27.333,-427.6,-6.91
585.75,27.377,-441.8,-9.25
586.3,27.425,-440.5,-9.03
586.85,27.475,-438.4,-8.69
587.4,27.523,-449.5,-10.51
587.95,27.578,-441.2,-9.14
588.5,27.628,-433.4,-7.86
589.05,27.673,-432.5,-7.71
589.6,27.717,-438,-8.61
590.15,27.765,-440,-8.94
590.7,27.814,-442.8,-9.4
591.25,27.864,-436.6,-8.38
591.8,27.912,-439.2,-8.81
592.35,27.961,-445.7,-9.87
592.9,28.014,-447.8,-10.22
593.45,28.068,-441.3,-9.15
594,28.119,-443,-9.42
594.55,28.17,-446.1,-9.93
595.1,28.224,-443,-9.42
595.65,28.275,-438.7,-8.71
596.2,28.324,-439.8,-8.89
596.75,28.373,-435.6,-8.2
597.3,28.419,-433.4,-7.84
597.85,28.465,-438.6,-8.69
598.4,28.512,-438.1,-8.61
598.95,28.56,-438,-8.59
599.5,28.608,-439.7,-8.87
600.05,28.658,-443.3,-9.46
600.6,28.709,-441.4,-9.14
601.15,28.759,-440,-8.91
601.7,28.809,-442.2,-9.27
602.25,28.859,-436.6,-8.35
602.8,28.908,-439.8,-8.88
603.35,28.956,-436.2,-8.28
603.9,29.004,-438.9,-8.72
604.45,29.052,-436.1,-8.26
605,29.099,-435.1,-8.1
605.55,29.145,-435.9,-8.23
606.1,29.192,-430.8,-7.39
606.65,29.236,-438.2,-8.6
607.2,29.283,-431.8,-7.55
607.75,29.328,-434.1,-7.93
608.3,29.375,-443.2,-9.42
608.85,29.425,-439.9,-8.88
609.4,29.474,-437.1,-8.42
609.95,29.523,-436.7,-8.35
610.5,29.57,-437.1,-8.42
611.05,29.618,-436.6,-8.33
611.6,29.665,-433.5,-7.82
612.15,29.711,-436.8,-8.36
612.7,29.758,-440.1,-8.9
613.25,29.808,-445.7,-9.82
613.8,29.862,-443.4,-9.44
614.35,29.915,-443,-9.38
614.9,29.967,-445.9,-9.85
615.45,30.02,-437.1,-8.4
616,30.071,-447,-10.03
616.55,30.124,-442.3,-9.25
617.1,30.177,-441.9,-9.19
617.65,30.227,-436.6,-8.31
618.2,30.277,-446.5,-9.94
618.75,30.33,-438.4,-8.61
619.3,30.38,-441.2,-9.06
619.85,30.431,-442,-9.19
620.4,30.483,-442,-9.19
620.95,30.534,-442.6,-9.29
621.5,30.586,-440.1,-8.88
622.05,30.637,-440.1,-8.88
622.6,30.687,-440.1,-8.87
623.15,30.738,-440.1,-8.87
623.7,30.788,-440.1,-8.87
624.25,30.837,-432.2,-7.57
624.8,30.884,-439,-8.69
625.35,30.933,-439.5,-8.77
625.9,30.983,-438,-8.52
626.45,31.032,-444,-9.51
627,31.085,-446.6,-9.93
627.55,31.141,-442.7,-9.29
628.1,31.194,-443.8,-9.47
628.65,31.247,-447.3,-10.04
629.2,31.303,-443.5,-9.42
629.75,31.356,-440.4,-8.91
630.3,31.408,-441.4,-9.07
630.85,31.459,-440.4,-8.9
631.4,31.511,-446.3,-9.87
631.95,31.564,-440.5,-8.92
632.5,31.618,-449.3,-10.36
633.05,31.673,-442.2,-9.19
633.6,31.725,-431.9,-7.5
634.15,31.773,-436.8,-8.3
634.7,31.821,-440.3,-8.88
635.25,31.871,-438,-8.5
635.8,31.919,-429.3,-7.07
636.35,31.965,-435.7,-8.12
636.9,32.012,-428.3,-6.9
637.45,32.055,-437.4,-8.4
638,32.104,-438.9,-8.64
638.55,32.154,-436.9,-8.31
639.1,32.203,-439.9,-8.81
639.65,32.253,-436.2,-8.2
640.2,32.302,-437.3,-8.38
640.75,32.35,-433.7,-7.78
641.3,32.399,-441.2,-9.02
641.85,32.448,-434.7,-7.95
642.4,32.496,-435.6,-8.09
642.95,32.545,-442.1,-9.16
643.5,32.598,-445.8,-9.77
644.05,32.652,-443.9,-9.46
644.6,32.707,-443,-9.31
645.15,32.761,-446.5,-9.88
645.7,32.816,-442.6,-9.24
646.25,32.869,-438.7,-8.59
646.8,32.921,-442.7,-9.25
647.35,32.973,-439.6,-8.74
647.9,33.024,-436.2,-8.18
648.45,33.073,-435.3,-8.03
649,33.121,-434.7,-7.93
649.55,33.168,-432.3,-7.53
650.1,33.215,-435.5,-8.06
650.65,33.262,-433.7,-7.76
651.2,33.309,-432,-7.48
651.75,33.355,-437,-8.3
652.3,33.404,-435.5,-8.06
652.85,33.453,-438,-8.47
653.4,33.502,-436,-8.14
653.95,33.551,-435.9,-8.12
654.5,33.599,-433.5,-7.72
655.05,33.648,-443.2,-9.32
655.6,33.699,-435.8,-8.1
656.15,33.75,-439.9,-8.77
656.7,33.801,-444.5,-9.53
657.25,33.856,-444.5,-9.53
657.8,33.911,-444.5,-9.53
658.35,33.966,-444.5,-9.52
658.9,34.021,-444.5,-9.52
659.45,34.077,-442.3,-9.16
660,34.13,-438.5,-8.53
660.55,34.181,-442.1,-9.12
661.1,34.234,-441.2,-8.97
661.65,34.287,-444.9,-9.58
662.2,34.342,-441.9,-9.08
662.75,34.395,-436.5,-8.19
663.3,34.445,-435.5,-8.03
663.85,34.494,-438.7,-8.55
664.4,34.545,-431.6,-7.39
664.95,34.591,-437.4,-8.34
665.5,34.64,-433.8,-7.75
666.05,34.688,-433.4,-7.68
666.6,34.736,-438.3,-8.48
667.15,34.785,-431.4,-7.35
667.7,34.832,-431.7,-7.4
668.25,34.879,-437.6,-8.37
668.8,34.928,-435.6,-8.04
669.35,34.977,-433.5,-7.69
669.9,35.024,-429.5,-7.03
670.45,35.069,-433.5,-7.69
671,35.117,-437.9,-8.41
671.55,35.167,-433.7,-7.72
672.1,35.214,-429.9,-7.09
672.65,35.26,-432.5,-7.52
673.2,35.307,-436.5,-8.18
673.75,35.356,-436.9,-8.24
674.3,35.406,-435.8,-8.06
674.85,35.454,-428.2,-6.81
675.4,35.501,-438.6,-8.52
675.95,35.551,-439.5,-8.67
676.5,35.602,-434.3,-7.81
677.05,35.65,-433.1,-7.61
677.6,35.698,-434.8,-7.89
678.15,35.746,-439.6,-8.68
678.7,35.798,-436.6,-8.18
679.25,35.848,-443,-9.24
679.8,35.903,-435.3,-7.97
680.35,35.952,-435.6,-8.02
680.9,36.001,-436,-8.08
681.45,36.051,-435.8,-8.05
682,36.101,-442,-9.07
682.55,36.154,-439.7,-8.69
683.1,36.206,-438.8,-8.54
683.65,36.258,-437.5,-8.32
684.2,36.308,-434.6,-7.84
684.75,36.357,-434.6,-7.84
685.3,36.406,-436.1,-8.09
685.85,36.456,-436.8,-8.2
686.4,36.506,-435.9,-8.05
686.95,36.555,-434.2,-7.77
687.5,36.604,-438.3,-8.44
688.05,36.655,-436.1,-8.08
688.6,36.705,-435.3,-7.95
689.15,36.755,-439.6,-8.66
689.7,36.807,-440.7,-8.84
690.25,36.859,-438.9,-8.54
690.8,36.911,-436.7,-8.17
691.35,36.961,-429.6,-7
691.9,37.007,-427.3,-6.63
692.45,37.051,-435.1,-7.91
693,37.1,-434.9,-7.88
693.55,37.149,-435,-7.89
694.1,37.198,-427.3,-6.62
694.65,37.244,-434.4,-7.79
695.2,37.29,-428.6,-6.84
695.75,37.337,-435.1,-7.91
696.3,37.384,-428.6,-6.84
696.85,37.431,-436.5,-8.14
697.4,37.48,-428.7,-6.85
697.95,37.525,-430.7,-7.18
698.5,37.571,-423.8,-6.04
699.05,37.613,-424.6,-6.18
699.6,37.656,-425.2,-6.27
700.15,37.697,-418.3,-5.14
700.7,37.737,-426,-6.41
701.25,37.779,-418.8,-5.22
701.8,37.819,-415.4,-4.66
702.35,37.858,-424.5,-6.16
702.9,37.899,-430.6,-7.17
703.45,37.945,-431,-7.23
704,37.992,-434.8,-7.86
704.55,38.039,-423.4,-5.98
705.1,38.082,-420.5,-5.5
705.65,38.124,-430.4,-7.13
706.2,38.169,-431.1,-7.25
706.75,38.215,-433.4,-7.63
707.3,38.263,-422.5,-5.83
707.85,38.306,-431.3,-7.28
708.4,38.351,-425.3,-6.29
708.95,38.395,-427,-6.57
709.5,38.439,-429.8,-7.03
710.05,38.484,-427.3,-6.62
710.6,38.529,-425.9,-6.39
711.15,38.572,-426,-6.41
711.7,38.616,-425.6,-6.34
712.25,38.66,-428.5,-6.82
712.8,38.704,-430.7,-7.18
713.35,38.751,-432.8,-7.53
713.9,38.798,-424.4,-6.15
714.45,38.842,-428.9,-6.89
715,38.886,-427.1,-6.59
715.55,38.931,-426.3,-6.46
716.1,38.976,-434.3,-7.78
716.65,39.023,-428.8,-6.87
717.2,39.069,-423.2,-5.95
717.75,39.111,-436,-8.05
718.3,39.161,-434,-7.73
718.85,39.211,-436.9,-8.2
719.4,39.261,-436,-8.05
719.95,39.312,-435.5,-7.97
720.5,39.362,-436.9,-8.2
721.05,39.413,-435.5,-7.97
721.6,39.463,-435.9,-8.03
722.15,39.515,-441.9,-9.02
722.7,39.569,-443,-9.2
723.25,39.625,-442.4,-9.1
723.8,39.68,-436.8,-8.18
724.35,39.732,-443.3,-9.24
724.9,39.787,-434.7,-7.83
725.45,39.838,-438.7,-8.48
726,39.89,-434.2,-7.74
726.55,39.94,-436.5,-8.12
727.1,39.99,-430.9,-7.2
727.65,40.039,-437.3,-8.25
728.2,40.089,-434.2,-7.74
728.75,40.138,-433.3,-7.59
729.3,40.188,-439.6,-8.63
729.85,40.241,-439,-8.53
730.4,40.293,-438.3,-8.41
730.95,40.345,-430.9,-7.19
731.5,40.394,-433,-7.54
732.05,40.441,-431.3,-7.26
732.6,40.49,-439.1,-8.54
733.15,40.543,-441.2,-8.89
733.7,40.597,-440.2,-8.72
734.25,40.651,-440.1,-8.7
734.8,40.705,-440.8,-8.82
735.35,40.759,-438.4,-8.42
735.9,40.812,-436.7,-8.14
736.45,40.865,-444.3,-9.39
737,40.92,-436.8,-8.15
737.55,40.972,-436,-8.02
738.1,41.023,-434.5,-7.77
738.65,41.073,-433.3,-7.57
739.2,41.123,-439.4,-8.58
739.75,41.174,-431.7,-7.31
740.3,41.223,-426.5,-6.45
740.85,41.269,-433.2,-7.55
741.4,41.317,-433.4,-7.58
741.95,41.366,-434.9,-7.83
742.5,41.416,-439.4,-8.57
743.05,41.469,-427.8,-6.66
743.6,41.516,-441,-8.83
744.15,41.569,-434.7,-7.79
744.7,41.62,-440.4,-8.73
745.25,41.674,-435.7,-7.95
745.8,41.725,-437.3,-8.22
746.35,41.777,-441.9,-8.97
746.9,41.832,-438.2,-8.36
747.45,41.885,-440.9,-8.8
748,41.94,-440.5,-8.74
748.55,41.995,-440.6,-8.75
749.1,42.05,-442.5,-9.06
749.65,42.106,-442.4,-9.04
750.2,42.161,-437.4,-8.22
750.75,42.215,-441.5,-8.89
751.3,42.268,-433.2,-7.52
751.85,42.319,-437.2,-8.18
752.4,42.371,-438.3,-8.36
752.95,42.423,-433.3,-7.54
753.5,42.473,-433.4,-7.55
754.05,42.522,-434.7,-7.77
754.6,42.573,-438.9,-8.46
755.15,42.625,-430.8,-7.12
755.7,42.674,-439.3,-8.52
756.25,42.726,-433.8,-7.61
756.8,42.777,-435.8,-7.94
757.35,42.827,-432.6,-7.41
757.9,42.876,-428.6,-6.75
758.45,42.922,-430.5,-7.07
759,42.969,-430.2,-7.02
759.55,43.017,-431.3,-7.2
760.1,43.064,-427.8,-6.62
760.65,43.11,-429.1,-6.83
761.2,43.157,-433.2,-7.51
761.75,43.205,-429.1,-6.83
762.3,43.252,-436.4,-8.03
762.85,43.303,-435.8,-7.93
763.4,43.354,-426.9,-6.47
763.95,43.4,-429.7,-6.93
764.5,43.447,-432.3,-7.36
765.05,43.495,-435.6,-7.9
765.6,43.546,-436.6,-8.06
766.15,43.597,-432.4,-7.37
766.7,43.647,-433.6,-7.57
767.25,43.696,-435.1,-7.81
767.8,43.746,-431.5,-7.22
768.35,43.796,-438.8,-8.42
768.9,43.849,-440.4,-8.68
769.45,43.902,-436.4,-8.02
770,43.954,-435.9,-7.94
770.55,44.005,-440.8,-8.74
771.1,44.058,-440.3,-8.66
771.65,44.112,-438.2,-8.31
772.2,44.166,-441.3,-8.82
772.75,44.221,-441,-8.77
773.3,44.276,-439,-8.44
773.85,44.33,-436.6,-8.04
774.4,44.382,-430.5,-7.04
774.95,44.431,-434.1,-7.63
775.5,44.482,-440.8,-8.73
776.05,44.535,-438.2,-8.3
776.6,44.588,-439.2,-8.46
777.15,44.641,-435.8,-7.9
777.7,44.692,-433.8,-7.57
778.25,44.743,-435.9,-7.92
778.8,44.794,-435.2,-7.8
779.35,44.845,-435.1,-7.78
779.9,44.896,-433.8,-7.57
780.45,44.946,-434.3,-7.65
781,44.996,-434.9,-7.75
781.55,45.046,-431.4,-7.17
782.1,45.095,-431.1,-7.12
782.65,45.143,-428.1,-6.62
783.2,45.189,-430.6,-7.04
783.75,45.237,-430.4,-7
784.3,45.284,-429.9,-6.92
784.85,45.331,-427.9,-6.59
785.4,45.377,-429.1,-6.79
785.95,45.424,-427.4,-6.51
786.5,45.47,-430.2,-6.97
787.05,45.517,-429.8,-6.9
787.6,45.562,-419.9,-5.27
788.15,45.606,-430.7,-7.05
788.7,45.652,-425.5,-6.19
789.25,45.697,-428.5,-6.69
789.8,45.742,-420.9,-5.44
790.35,45.785,-424.4,-6.01
790.9,45.827,-420.4,-5.35
791.45,45.87,-426,-6.28
792,45.912,-413.7,-4.25
792.55,45.951,-419.1,-5.14
793.1,45.992,-424.5,-6.03
793.65,46.036,-429.5,-6.86
794.2,46.08,-423.1,-5.8
794.75,46.124,-419.7,-5.24
795.3,46.165,-426.6,-6.38
795.85,46.21,-426.2,-6.31
796.4,46.254,-425,-6.12
796.95,46.298,-425.4,-6.18
797.5,46.341,-422.5,-5.7
798.05,46.384,-422.6,-5.72
798.6,46.427,-417.3,-4.85
799.15,46.466,-415.6,-4.57
799.7,46.504,-412.3,-4.03
800.25,46.542,-422.1,-5.64
800.8,46.583,-421.3,-5.51
801.35,46.624,-418.5,-5.05
801.9,46.666,-422.3,-5.68
802.45,46.707,-419.7,-5.25
803,46.748,-427.8,-6.58
803.55,46.794,-427.2,-6.49
804.1,46.84,-429.5,-6.86
804.65,46.885,-423.5,-5.88
805.2,46.93,-426.9,-6.44
805.75,46.975,-426.9,-6.44
806.3,47.02,-425.3,-6.17
806.85,47.065,-428.8,-6.75
807.4,47.111,-429.1,-6.8
807.95,47.158,-425.7,-6.24
808.5,47.203,-426.9,-6.44
809.05,47.246,-418,-4.97
809.6,47.289,-428.3,-6.67
810.15,47.334,-428.1,-6.64
810.7,47.38,-431.2,-7.15
811.25,47.428,-427.8,-6.59
811.8,47.474,-430.1,-6.97
812.35,47.522,-428.7,-6.73
812.9,47.569,-430.3,-7
813.45,47.616,-431.5,-7.2
814,47.664,-425.7,-6.24
814.55,47.71,-425.9,-6.27
815.1,47.755,-431.1,-7.13
815.65,47.803,-434.3,-7.66
816.2,47.852,-428.2,-6.65
816.75,47.9,-431.8,-7.25
817.3,47.95,-442.1,-8.94
817.85,48.005,-435.9,-7.92
818.4,48.058,-436.5,-8.02
818.95,48.111,-439.7,-8.55
819.5,48.165,-436,-7.94
820.05,48.217,-432.2,-7.31
820.6,48.268,-436.3,-7.99
821.15,48.318,-429.1,-6.8
821.7,48.367,-428.1,-6.63
822.25,48.414,-429.1,-6.8
822.8,48.461,-432.2,-7.31
823.35,48.51,-430.3,-7
823.9,48.558,-439.5,-8.51
824.45,48.613,-433.7,-7.56
825,48.664,-429.9,-6.93
825.55,48.712,-438.3,-8.32
826.1,48.766,-437.4,-8.17
826.65,48.819,-430.8,-7.08
827.2,48.867,-430.4,-7.01
827.75,48.915,-427.5,-6.54
828.3,48.962,-433.8,-7.57
828.85,49.012,-434.4,-7.67
829.4,49.063,-433.9,-7.59
829.95,49.115,-437.4,-8.17
830.5,49.167,-432,-7.28
831.05,49.218,-436.7,-8.05
831.6,49.269,-434.2,-7.64
832.15,49.322,-438.8,-8.39
832.7,49.375,-432.5,-7.36
833.25,49.426,-436.2,-7.96
833.8,49.477,-431.3,-7.16
834.35,49.526,-428.8,-6.75
834.9,49.575,-433.6,-7.54
835.45,49.624,-433.1,-7.45
836,49.673,-424.9,-6.1
836.55,49.721,-434.6,-7.7
837.1,49.77,-434.4,-7.67
837.65,49.82,-426.1,-6.3
838.2,49.869,-434.4,-7.67
838.75,49.918,-433.3,-7.49
839.3,49.97,-437.5,-8.18
839.85,50.022,-430.7,-7.06
840.4,50.071,-428.2,-6.64
840.95,50.118,-430.1,-6.96
841.5,50.166,-427.3,-6.5
842.05,50.212,-430.5,-7.02
842.6,50.261,-433.6,-7.53
843.15,50.311,-433.4,-7.5
843.7,50.362,-430.7,-7.06
844.25,50.411,-430.7,-7.05
844.8,50.458,-422.1,-5.64
845.35,50.503,-431.4,-7.17
845.9,50.551,-433,-7.43
846.45,50.602,-437.1,-8.11
847,50.652,-425.8,-6.25
847.55,50.701,-430.5,-7.02
848.1,50.749,-433.3,-7.48
848.65,50.798,-427.9,-6.59
849.2,50.846,-433.4,-7.5
849.75,50.896,-432.6,-7.37
850.3,50.945,-428.5,-6.69
850.85,50.993,-428.6,-6.71
851.4,51.041,-435.5,-7.84
851.95,51.092,-432.7,-7.38
852.5,51.143,-432.7,-7.38
853.05,51.193,-431.7,-7.22
853.6,51.242,-430.1,-6.95
854.15,51.291,-430.5,-7.02
854.7,51.339,-429,-6.77
855.25,51.387,-431.7,-7.21
855.8,51.436,-428,-6.61
856.35,51.483,-426.9,-6.42
856.9,51.528,-424.2,-5.98
857.45,51.575,-432.9,-7.41
858,51.622,-427.8,-6.57
858.55,51.671,-432.5,-7.35
859.1,51.719,-425,-6.11
859.65,51.765,-428.2,-6.64
860.2,51.811,-421.2,-5.49
860.75,51.854,-429.2,-6.81
861.3,51.901,-425.9,-6.26
861.85,51.947,-424.1,-5.97
862.4,51.99,-415.9,-4.62
862.95,52.032,-426.5,-6.36
863.5,52.075,-419.7,-5.24
864.05,52.117,-425.7,-6.23
864.6,52.163,-432,-7.27
865.15,52.212,-426.2,-6.32
865.7,52.258,-429.5,-6.86
866.25,52.305,-426.2,-6.32
866.8,52.352,-428.8,-6.75
867.35,52.398,-424.7,-6.07
867.9,52.443,-422.2,-5.66
868.45,52.488,-430.6,-7.04
869,52.535,-424.1,-5.97
869.55,52.58,-426.4,-6.35
870.1,52.625,-419.9,-5.28
870.65,52.668,-428.6,-6.72
871.2,52.713,-424.9,-6.11
871.75,52.757,-415.8,-4.61
872.3,52.799,-424.9,-6.11
872.85,52.843,-425.3,-6.18
873.4,52.888,-428,-6.62
873.95,52.935,-429.2,-6.82
874.5,52.982,-426.2,-6.33
875.05,53.026,-413.6,-4.25
875.6,53.067,-422.7,-5.75
876.15,53.11,-425.3,-6.18
876.7,53.153,-418.6,-5.08
877.25,53.195,-420.6,-5.41
877.8,53.237,-418.3,-5.03
878.35,53.278,-419.2,-5.18
878.9,53.318,-417.8,-4.95
879.45,53.359,-417.6,-4.92
880,53.399,-418,-4.99
880.55,53.44,-419.8,-5.29
