Depth(m),Age(kaBP),Deuterium(‰SMOW),dTemp(ºC)
2790.7,436.726,-444.3,-9.63
2791.25,437.267,-441.9,-9.25
2791.8,437.827,-443.8,-9.6
2792.35,438.423,-438.9,-8.8
2792.9,439.039,-441.2,-9.19
2793.45,439.625,-440.9,-9.15
2794,440.206,-440.2,-9.04
2794.55,440.798,-440.3,-9.07
2795.1,441.388,-438.3,-8.73
2795.65,441.954,-435.8,-8.33
2796.2,442.535,-436.3,-8.42
2796.75,443.12,-433.2,-7.91
2797.3,443.682,-428.6,-7.15
2797.85,444.216,-432.4,-7.77
2798.4,444.785,-430.4,-7.45
2798.95,445.342,-430.4,-7.45
2799.5,445.9,-431.6,-7.65
2800.05,446.471,-430.6,-7.48
2800.6,447.034,-422.5,-6.15
2801.15,447.536,-423.5,-6.32
2801.7,448.047,-424.9,-6.56
2802.25,448.573,-431.1,-7.58
2802.8,449.151,-429.3,-7.28
2803.35,449.719,-429.2,-7.26
2803.9,450.288,-431.6,-7.65
2804.45,450.881,-433.3,-7.92
2805,451.492,-425.9,-6.7
2805.55,452.042,-428.2,-7.07
2806.1,452.613,-433.2,-7.89
2806.65,453.229,-429.3,-7.24
2807.2,453.816,-423.9,-6.34
2807.75,454.4,-426.8,-6.81
2808.3,454.969,-428,-7.01
2808.85,455.55,-430.3,-7.39
2809.4,456.156,-435.3,-8.21
2809.95,456.813,-439.7,-8.92
2810.5,457.519,-438.4,-8.7
2811.05,458.216,-439.3,-8.83
2811.6,458.942,-439.2,-8.8
2812.15,459.652,-437.3,-8.47
2812.7,460.344,-436.6,-8.34
2813.25,461.031,-436.1,-8.24
2813.8,461.713,-431.4,-7.45
2814.35,462.35,-429.6,-7.15
2814.9,462.97,-432.6,-7.63
2815.45,463.62,-432.8,-7.65
2816,464.257,-435.5,-8.08
2816.55,464.951,-437.8,-8.44
2817.1,465.657,-438.3,-8.5
2817.65,466.367,-436.5,-8.17
2818.2,467.058,-435.8,-8.03
2818.75,467.74,-439.7,-8.64
2819.3,468.461,-433.5,-7.58
2819.85,469.115,-426.9,-6.47
2820.4,469.706,-431.8,-7.26
2820.95,470.337,-426.1,-6.3
2821.5,470.916,-419.4,-5.18
2822.05,471.435,-417.3,-4.83
2822.6,471.934,-412.3,-4
2823.15,472.392,-416.1,-4.62
2823.7,472.88,-421.5,-5.5
2824.25,473.409,-425.7,-6.17
2824.8,473.97,-430.9,-7.01
2825.35,474.576,-430.3,-6.89
2825.9,475.16,-423.5,-5.75
2826.45,475.696,-419.6,-5.09
2827,476.2,-416.7,-4.61
2827.55,476.679,-414.2,-4.19
2828.1,477.138,-412.8,-3.95
2828.65,477.586,-417,-4.64
2829.2,478.062,-420.4,-5.19
2829.75,478.562,-425.3,-5.98
2830.3,479.099,-423.9,-5.73
2830.85,479.623,-420.5,-5.15
2831.4,480.119,-419.4,-4.95
2831.95,480.605,-418.3,-4.76
2832.5,481.081,-419.5,-4.94
2833.05,481.571,-417.1,-4.53
2833.6,482.035,-416,-4.34
2834.15,482.489,-413.8,-3.97
2834.7,482.928,-415,-4.15
2835.25,483.371,-412.5,-3.74
2835.8,483.798,-412.7,-3.76
2836.35,484.225,-410.3,-3.36
2836.9,484.635,-411.4,-3.54
2837.45,485.051,-410.8,-3.44
2838,485.462,-410.5,-3.39
2838.55,485.87,-410.7,-3.42
2839.1,486.279,-409.5,-3.22
2839.65,486.679,-406.7,-2.76
2840.2,487.062,-406.6,-2.75
2840.75,487.444,-405.4,-2.56
2841.3,487.817,-404.4,-2.4
2841.85,488.185,-405.4,-2.57
2842.4,488.555,-398,-1.36
2842.95,488.889,-404.9,-2.51
2843.5,489.256,-404.1,-2.39
2844.05,489.62,-403.2,-2.25
2844.6,489.978,-403.5,-2.31
2845.15,490.338,-404.2,-2.44
2845.7,490.701,-406.4,-2.81
2846.25,491.076,-407.7,-3.03
2846.8,491.456,-409,-3.25
2847.35,491.845,-409,-3.25
2847.9,492.234,-410,-3.42
2848.45,492.628,-410,-3.42
2849,493.022,-410.4,-3.5
2849.55,493.416,-408.8,-3.23
2850.1,493.802,-413,-3.93
2850.65,494.208,-411.9,-3.75
2851.2,494.6,-412,-3.78
2851.75,495.001,-412,-3.78
2852.3,495.401,-412,-3.79
2852.85,495.8,-410.7,-3.58
2853.4,496.19,-411.7,-3.74
2853.95,496.584,-411.9,-3.78
2854.5,496.978,-413,-3.97
2855.05,497.376,-411.1,-3.66
2855.6,497.762,-413,-3.97
