Depth ice/snow [m],Gas age [ka BP],δ18O-O2 [‰]
2424.95,283.2514,0.3146
2426.05,283.607,0.1863
2427.15,283.9453,0.0774
2428.25,284.284,0.1772
2429.35,284.624,0.1346
2430.45,284.9696,0.1522
2431.55,285.3167,0.1399
2432.65,285.6654,0.0636
2433.75,286.0119,0.0849
2435.37,286.4895,0.1364
2438.15,287.2644,-0.0492
2440.35,287.8408,-0.0562
2441.45,288.1274,-0.1406
2441.97,288.2727,-0.0291
2442.55,288.4297,-0.134
2443.65,288.7447,-0.0906
2444.75,289.0551,-0.1106
2446.95,289.6483,-0.1549
2448.05,289.9445,-0.2483
2448.57,290.0819,-0.0415
2449.15,290.2307,-0.3144
2450.25,290.5091,-0.2799
2451.35,290.78,-0.1927
2452.45,291.0431,-0.1594
2454.07,291.4565,0.0939
2455.75,291.9093,-0.1496
2456.85,292.2509,-0.1116
2457.95,292.6172,-0.095
2459.02,293.0068,0.0255
2459.05,293.0181,-0.0236
2461.25,293.8831,-0.1306
2464.52,295.2437,0.1715
2465.65,295.6893,0.0937
2469.47,297.0752,0.5706
2470.05,297.2978,0.4223
2474.45,299.1528,0.3933
2474.97,299.3743,0.5155
2479.43,301.0776,0.643
2480.47,301.4908,0.672
2482.74,302.3672,0.492
2485.97,303.4487,0.4628
2487.14,303.8245,0.3385
2491.47,305.2449,0.361
2496.42,307.069,0.0722
2501.92,309.3023,0.0244
2504.74,310.4459,0.084
2507.42,311.4517,0.0534
2509.14,312.1068,0.0235
2513.47,313.7588,0.1614
2513.54,313.7845,0.1415
2517.94,315.3707,0.2605
2520.07,316.0799,0.3706
2525.02,317.7374,0.5927
2526.74,318.4038,0.5315
2531.07,320.3059,0.6422
2531.14,320.3353,0.6085
2537.67,322.6665,0.5728
2544.34,324.655,0.3905
2545.37,324.9514,0.543
2548.74,325.9054,0.2125
2553.14,327.048,0.035
2553.62,327.1702,0.0607
2555.85,327.7392,0.0327
2556.95,328.029,-0.1083
2557.53,328.1842,-0.0529
2558.05,328.325,-0.1067
2559.15,328.6126,-0.1295
2561.35,329.21,-0.1746
2561.87,329.3526,-0.2084
2561.9,329.3609,-0.0431
2563.55,329.7736,-0.1908
2564.1,329.9116,-0.1586
2565.2,330.194,-0.1938
2566.34,330.4748,-0.1485
2567.95,330.8518,-0.1695
2570.12,331.3485,-0.1925
2570.15,331.3554,-0.1721
2570.74,331.4994,-0.2215
2571.25,331.6256,-0.1652
2572.9,332.0423,-0.0781
2574.55,332.4674,-0.0766
2575.14,332.6125,0.037
2576.2,332.848,0.1201
2577.85,333.1823,0.1903
2580.02,333.5719,0.364
2580.08,333.5821,0.2782
2580.6,333.6704,0.4013
2582.25,333.9635,0.5809
2582.28,333.9688,0.4924
2583.35,334.1588,0.708
2583.94,334.2613,0.85
2584.48,334.3541,0.7389
2585.55,334.5477,0.8306
2587.2,334.8582,0.8927
2588.3,335.0527,0.861
2588.34,335.06,0.9325
2588.85,335.1534,0.9163
2589.37,335.2503,0.466
2589.95,335.3632,0.9271
2590.5,335.4692,0.9059
2591.08,335.5818,0.752
2591.6,335.6911,0.8739
2592.15,335.818,0.959
2592.74,335.9538,0.969
2593.25,336.0757,0.955
2594.9,336.5089,1.0174
2595.42,336.6609,0.8527
2596.55,337.0058,1.0597
2597.1,337.1821,1.0651
2597.65,337.3679,1.0977
2599.3,337.9422,1.0839
2599.85,338.1431,1.1563
2600.37,338.3343,1.0597
2600.95,338.5536,1.1643
2601.5,338.7712,1.1839
2601.53,338.7833,1.1961
2602.05,338.9932,1.196
2602.6,339.2218,1.1681
2603.15,339.4593,1.1424
2603.67,339.693,1.194
2604.8,340.2053,1.1824
2605.35,340.4698,1.193
2605.9,340.742,1.177
2605.94,340.7623,1.2015
2606.45,341.0209,1.1952
2606.97,341.2951,1.1565
2607.55,341.6154,1.1329
2608.1,341.942,1.1511
2609.2,342.6269,1.135
2609.75,342.9684,1.1203
2610.3,343.328,1.1066
2610.34,343.3529,1.125
2610.82,343.6514,1.1209
2611.4,344.0215,1.1445
2611.95,344.3504,1.0761
2613.05,345.028,1.0588
2614.12,345.7189,0.9708
2614.15,345.7382,1.0312
2617.97,348.1296,0.941
2623.54,351.4771,0.8595
2625.67,352.7439,0.6959
2627.94,354.057,0.6905
2628.97,354.6371,0.671
2631.23,355.9398,0.557
2632.34,356.6766,0.64
2633.43,357.4268,0.59
2635.57,358.9298,0.6014
2635.63,358.9737,0.598
2637.83,360.6236,0.565
2638.87,361.3952,0.5466
2641.14,363.0222,0.4265
2642.17,363.7358,0.4227
2642.23,363.7754,0.2934
2644.43,365.1889,0.5572
2645.54,365.8463,0.273
2646.02,366.1306,0.2325
2646.63,366.481,0.2
2649.32,368.035,0.0504
2651.03,368.9872,0.031
2653.17,370.1993,-0.0095
2654.34,370.87,0.0215
2655.43,371.5536,0.295
