# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1012-tab.txt
# Complete Data
# File Created: 22-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1012
# Latitude:       32.16.58N	( 32.28278)
# Longitude:      118.23.01W	( -118.3836)
# Water Depth(m): 1783
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Depth is Herbert Science 2001 version of composite depth. Isotope Data analytical
#   error is ~0.1 per mil. The Uk'37 data have an analytical precision equal to +-
#   0.15 Degrees Celsius. The age model comes from tuning benthic d18O variations
#   to the SPECMAP c
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1012
depth	calyrBP 	d18Oforams-b	sst-uk37	uk37	notes
2379.99	283990	4.06	15.8	0.576	1012B 3H-4 65
2390.06	285140	3.98	16.5	0.601	1012B 3H-4 75
2400.16	286290	3.82	16.8	0.612	1012B 3H-4 85
2410.33	287450	-999	17.2	0.623	1012B 3H-4 95
2420.58	288710	3.685	16.6	0.604	1012B 3H-4 105
2428	290240	-999	15.4	0.562	1012B 3H-4 115
2438	292300	3.965	14	0.516	1012B 3H-4 125
2448	294360	4.01	15.5	0.565	1012B 3H-4 135
2458	296410	4.13	16.3	0.592	1012B 3H-4 145
2468	298470	4.18	15.8	0.576	1012B 3H-5 4
2478	300530	4.25	16.4	0.597	1012B 3H-5 15
2488	302590	4.23	16.4	0.597	1012B 3H-5 25
2498	303640	4.31	16.9	0.613	1012B 3H-5 35
2508	304450	4.08	17	0.619	1012B 3H-5 45
2518	305250	3.76	16.5	0.6	1012B 3H-5 55
2528	306060	4.15	16.8	0.61	1012B 3H-5 65
2538	306860	3.84	17.1	0.622	1012B 3H-5 75
2548	307660	3.89	17.5	0.635	1012B 3H-5 85
2558	308470	3.63	17.7	0.639	1012B 3H-5 95
2568	309270	3.48	17.8	0.646	1012B 3H-5 105
2578	311030	3.72	17.8	0.646	1012B 3H-5 115
2588	313170	3.4	16.8	0.61	1012B 3H-5 125
2598	315300	3.81	16.9	0.614	1012B 3H-5 135
2608	317440	3.83	17.6	0.637	1012B 3H-5 145
2618	319570	3.58	17.8	0.645	1012B 3H-6 4
2628	321000	3.52	18	0.651	1012B 3H-6 15
2638	322250	3.49	18.2	0.659	1012B 3H-6 25
2648	323500	3.45	18.3	0.663	1012B 3H-6 35
2658	324750	-999	18.9	0.683	1012B 3H-6 45
2668	326000	3.14	18.6	0.672	1012B 3H-6 55
2678	327250	3.4	18.9	0.681	1012B 3H-6 65
2688	328500	3.25	19	0.684	1012B 3H-6 75
2698	329750	3.35	18.9	0.681	1012B 3H-6 85
2708	331000	3.28	18.9	0.683	1012B 3H-6 95
2718	332260	3.23	18.7	0.674	1012B 3H-6 105
2728	333510	3.24	19.6	0.705	1012B 3H-6 115
2738	334770	3.74	20.6	0.739	1012B 3H-6 125
2748	336020	4.12	19.4	0.697	1012B 3H-6 135
2758	337280	4.36	15.5	0.565	1012B 3H-6 145
2768	338540	4.52	15.4	0.563	1012B 3H-7 4
2778	339790	4.62	14.9	0.546	1012B 3H-7 15
2788	340940	4.52	14.7	0.539	1012B 3H-7 25
2798	342060	4.56	14.3	0.527	1012B 3H-7 35
2808	343190	4.44	15.3	0.558	1012B 3H-7 45
2810	343410	4.62	14	0.515	1012A 4H-2 95
2818	344310	4.33	14.2	0.522	1012B 3H-7 55
2820	344540	4.57	14	0.514	1012A 4H-2 105
2830	345660	4.38	13.7	0.504	1012A 4H-2 115
2840	346790	4.36	13.4	0.495	1012A 4H-2 125
2850	347920	4.03	12.1	0.451	1012A 4H-2 135
2860	349070	4.31	12.1	0.451	1012A 4H-2 145
2870	350850	4.39	12.8	0.474	1012A 4H-3 4
2880	352630	4.53	12.6	0.469	1012A 4H-3 15
2890	354410	4.39	11.8	0.441	1012A 4H-3 25
2900	356190	4.38	11.3	0.424	1012A 4H-3 35
2910	357970	4.26	11.5	0.431	1012A 4H-3 45
2920	359750	4.19	11.9	0.445	1012A 4H-3 55
2930	361530	4.2	13	0.48	1012A 4H-3 65
2951	365270	4.13	13.9	0.513	1012A 4H-3 85
2961	362960	4.16	14.1	0.517	*added23cm 1012B 4H-1 45
2971	364740	-999	14.4	0.527	1012B 4H-1 55
2981	366520	3.96	14.6	0.536	1012B 4H-1 65
2991	368300	-999	15.4	0.562	1012B 4H-1 75
3001	370080	3.89	14.3	0.526	1012B 4H-1 85
3011	371860	3.94	12.9	0.479	1012B 4H-1 95
3021	373640	4.005	12.6	0.467	1012B 4H-1 105
3031	375420	4.09	14.6	0.535	1012B 4H-1 115
3041	377690	3.89	15.3	0.559	1012B 4H-1 125
3051	379970	4.01	17	0.618	1012B 4H-1 135
3061	382260	3.82	16.6	0.602	1012B 4H-1 145
3071	384540	3.75	16.1	0.587	1012B 4H-2 5
3081	386400	3.84	16.8	0.611	1012B 4H-2 15
3091	388150	3.9	16.6	0.603	1012B 4H-2 25
3101	389900	3.85	16.5	0.601	1012B 4H-2 35
3111	391640	3.8	17.2	0.624	1012B 4H-2 45
3121	393390	3.59	17.6	0.639	1012B 4H-2 55
3131	395140	3.63	18.4	0.666	1012B 4H-2 65
3141	396890	3.4	18.7	0.674	1012B 4H-2 75
3151	398640	3.66	18.9	0.682	1012B 4H-2 85
3161	400390	3.05	19	0.686	1012B 4H-2 95
3171	402130	3.02	19	0.684	1012B 4H-2 105
3181	403880	2.91	18.7	0.674	1012B 4H-2 115
3191	405630	3.16	19.2	0.692	1012B 4H-2 125
3201	407380	3.05	18.7	0.675	1012B 4H-2 135
3211	408680	3.5	18.8	0.677	1012B 4H-2 145
3221	409720	2.97	18.7	0.673	1012B 4H-3 5
3231	410770	3.16	18.3	0.66	1012B 4H-3 15
3241	411820	3.11	18.3	0.662	1012B 4H-3 25
3251	412860	-999	17.9	0.649	1012B 4H-3 35
3261	413910	3.58	17.7	0.642	1012B 4H-3 45
3271	414960	3.58	17.6	0.637	1012B 4H-3 55
3281	416010	3.49	17.6	0.639	1012B 4H-3 65
3291	417050	3.62	17.4	0.632	1012B 4H-3 75
3301	418100	3.69	17.3	0.628	1012B 4H-3 85
3311	419150	3.73	17.3	0.628	1012B 4H-3 95
3321	420200	3.36	17.2	0.622	1012B 4H-3 105
3331	421240	4.06	17.1	0.622	1012B 4H-3 115
3341	422290	4.03	17.1	0.619	1012B 4H-3 125
