# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
12553	3130702	8.25	25.6	846D 12H-4 123-124
12563	3132980	11.53	25.3	846D 12H-4 133-134
12573	3135076	12.67	25.1	846D 12H-4 143-144
12583	3137170	14.24	24.9	846D 12H-5 3-4
12593	3139334	18.35	24.9	846D 12H-5 13-14
12603	3141746	17.95	25	846D 12H-5 23-24
12613	3144224	15.65	25.5	846D 12H-5 33-34
12623	3146560	11.86	26.1	846D 12H-5 43-44
12633	3149364	10.17	26.6	846D 12H-5 53-54
12643	3152430	7.73	26.6	846D 12H-5 63-64
12653	3155530	6.79	26.8	846D 12H-5 73-74
12663	3158630	9.3	26.3	846D 12H-5 83-84
12673	3161722	9.36	25.7	846D 12H-5 93-94
12683	3164820	10.46	25.3	846D 12H-5 103-104
12693	3167776	13.02	25.3	846D 12H-5 113-114
12703	3170336	13.78	25.5	846D 12H-5 123-124
12714	3173056	11.82	25.3	846D 12H-5 133-134
12734	3178023	11.24	24.9	846D 12H-6 3-4
12744	3180504	8.91	25.1	846D 12H-6 13-14
12753	3182937	8.96	25.3	846D 12H-6 23-24
12763	3185970	5.84	25.8	846D 12H-6 33-34
12773	3188870	8.04	25.8	846D 12H-6 43-44
12785	3192282	6.12	25.8	846D 12H-6 53-54
12798	3195981	5.94	25.8	846D 12H-6 63-64
12814	3200531	6.44	25.9	846D 12H-6 73-74
12831	3205371	6.09	25.7	846D 12H-6 83-84
12844	3209070	5.89	26	846D 12H-6 93-94
12855	3212201	5.85	25.7	846D 12H-6 103-104
12864	3214761	5.77	25.3	846D 12H-6 113-114
12873	3217321	5.53	25.3	846D 12H-6 123-124
12880	3219312	6.27	24.8	846C 12H-5 23-24
12883	3220173	5.67	25.4	846D 12H-6 133-134
12890	3222367	6.02	25	846C 12H-5 33-34
12894	3223650	4.9	25.3	846D 12H-6 143-144
12899	3225256	5.39	25.1	846C 12H-5 43-44
12904	3226866	5.06	25.2	846D 12H-7 23-24
12905	3227188	4.82	25	846D 12H-7 3-4
12907	3227830	5.58	25.1	846C 12H-5 53-54
12913	3229887	6.1	25.2	846D 12H-7 33-34
12916	3230953	5.48	25.2	846C 12H-5 63-64
12927	3235002	5.4	25	846C 12H-5 73-74
12938	3239357	5.41	25.2	846C 12H-5 83-84
12949	3243777	5.24	24.9	846C 12H-5 93-94
12960	3248205	5.46	24.7	846C 12H-5 103-104
12969	3251701	4.81	25.1	846C 12H-5 113-114
12978	3255068	4.75	24.8	846C 12H-5 123-124
12987	3258221	3.85	25	846C 12H-5 133-134
12997	3262198	4.15	25.1	846C 12H-5 143-144
13008	3267168	4.88	25	846C 12H-6 3-4
13018	3271778	4.61	25.3	846C 12H-6 13-14
13029	3276840	4.98	25.3	846C 12H-6 23-24
13038	3280988	6.02	25.2	846C 12H-6 33-34
13043	3283293	7.61	24.8	846D 13H-1 3-4
13047	3285138	6.04	24.9	846C 12H-6 43-44
13053	3287760	7.5	25.4	846D 13H-1 13-14
13057	3289426	8.04	24.6	846C 12H-6 53-54
13063	3291874	7.48	24.7	846D 13H-1 23-24
13067	3293442	6.98	24.8	846C 12H-6 63-64
13073	3295698	7.44	25.3	846D 13H-1 33-34
13077	3297134	5.77	24.9	846C 12H-6 73-74
13083	3299186	5.94	25.3	846D 13H-1 43-44
13087	3300526	7.13	25.2	846C 12H-6 83-84
13093	3302494	5.06	25.4	846D 13H-1 53-54
13097	3303806	7.94	25.5	846C 12H-6 93-94
13103	3305774	6.38	25.2	846D 13H-1 63-64
13113	3309046	6.02	25.1	846D 13H-1 73-74
13123	3312228	6.18	25	846D 13H-1 83-84
13133	3315388	5.78	25	846D 13H-1 93-94
13143	3318444	8.04	24.6	846D 13H-1 103-104
13153	3321674	8.14	24.6	846D 13H-1 113-114
13163	3324954	11.88	24.1	846D 13H-1 123-124
13173	3328010	19.1	23.6	846D 13H-1 133-134
13183	3330466	16.2	23.7	846D 13H-1 143-144
13193	3332610	4.93	25	846D 13H-2 3-4
13203	3334702	5.01	25.1	846D 13H-2 13-14
13213	3336696	5.55	24.8	846D 13H-2 23-24
13223	3338642	3.71	25.1	846D 13H-2 33-34
13233	3340574	4.41	25.2	846D 13H-2 43-44
13243	3342512	4.08	25.3	846D 13H-2 53-54
13253	3344444	4.97	25.3	846D 13H-2 63-64
13263	3346446	5.06	25.5	846D 13H-2 73-74
13273	3348786	5.91	25.4	846D 13H-2 83-84
13283	3351198	6.94	25.1	846D 13H-2 93-94
13293	3353616	8.35	24.7	846D 13H-2 103-104
13303	3356036	7.81	24.7	846D 13H-2 113-114
13313	3358456	6.31	25.2	846D 13H-2 123-124
13323	3360868	6.99	25.3	846D 13H-2 133-134
13333	3363286	6.56	25.5	846D 13H-2 143-144
13343	3365698	4.98	25.3	846D 13H-3 3-4
13353	3368116	6.17	25.3	846D 13H-3 13-14
13363	3370536	4.98	25.3	846D 13H-3 23-24
13373	3372948	5.16	25.2	846D 13H-3 33-34
13383	3375366	6.21	24.9	846D 13H-3 43-44
13393	3377786	6.06	24.8	846D 13H-3 53-54
13403	3380206	5.89	24.9	846D 13H-3 63-64
13413	3382274	3.89	25.1	846D 13H-3 73-74
13423	3384214	4.28	25.4	846D 13H-3 83-84
13433	3386168	5.55	25.5	846D 13H-3 93-94
13443	3388176	4.75	25.5	846D 13H-3 103-104
13453	3390196	4.35	25.4	846D 13H-3 113-114
13473	3394226	4.4	25.3	846D 13H-3 133-134
13483	3396246	4.9	25.1	846D 13H-3 143-144
13493	3398210	5.04	24.9	846D 13H-4 3-4
13503	3400120	5.52	24.9	846D 13H-4 13-14
13513	3402012	5.72	24.8	846D 13H-4 23-24
13523	3403910	4.81	24.9	846D 13H-4 33-34
13533	3405802	4.33	25	846D 13H-4 43-44
13543	3407684	3.15	25.4	846D 13H-4 53-54
13553	3409564	6.23	25.3	846D 13H-4 63-64
13563	3411316	6.5	25.5	846D 13H-4 73-74
13573	3412996	4.73	25.6	846D 13H-4 83-84
13583	3414634	6.38	25.1	846D 13H-4 93-94
13593	3416160	7.05	24.8	846D 13H-4 103-104
13613	3419170	8.2	24.2	846D 13H-4 123-124
13623	3420678	7.47	24.2	846D 13H-4 133-134
13633	3422180	6.96	24	846D 13H-4 143-144
13643	3423688	6.72	24	846D 13H-5 3-4
13653	3425190	4.47	24.5	846D 13H-5 13-14
13663	3426698	7.18	24.2	846D 13H-5 23-24
13673	3428208	7.18	24.7	846D 13H-5 33-34
13683	3429710	6.53	24.8	846D 13H-5 43-44
13693	3431210	6.62	25.1	846D 13H-5 53-54
13703	3432718	5.52	25.2	846D 13H-5 63-64
13713	3434308	5.85	25.3	846D 13H-5 73-74
13723	3435974	6.17	25.2	846D 13H-5 83-84
13733	3437630	4.96	25.4	846D 13H-5 93-94
13743	3439424	4.81	24.8	846D 13H-5 103-104
13753	3441254	5.55	24.7	846D 13H-5 113-114
13763	3443084	5.68	24.7	846D 13H-5 123-124
13773	3444986	6.47	24.6	846D 13H-5 133-134
13783	3446930	5.7	24.8	846D 13H-5 143-144
13793	3448888	5.3	25.8	846D 13H-6 3-4
13803	3450840	6.67	26.1	846D 13H-6 13-14
13813	3453022	6.65	26.1	846D 13H-6 23-24
13823	3455414	4.98	26.4	846D 13H-6 33-34
13833	3457852	4.35	26.4	846D 13H-6 43-44
13843	3460292	5.31	26.4	846D 13H-6 53-54
13853	3462732	7.14	26	846D 13H-6 63-64
13863	3465172	7.33	25.9	846D 13H-6 73-74
13883	3469706	4.93	26.1	846D 13H-6 93-94
13893	3471678	3.68	26.1	846D 13H-6 103-104
13903	3473630	3.84	26.1	846D 13H-6 113-114
13923	3477530	3.68	26.3	846D 13H-6 133-134
13933	3479480	5.08	25.8	846D 13H-6 143-144
13943	3481430	4.81	25.7	846D 13H-7 3-4
13952	3483185	3.58	26	846C 13H-5  43-44
13953	3483380	3.4	26.2	846D 13H-7 13-14
13962	3485142	4.65	25.7	846C 13H-5  53-54
13963	3485338	4.33	26.2	846D 13H-7 23-24
13973	3487290	5.12	25.9	846D 13H-7 33-34
13982	3489045	5.86	25	846C 13H-5  73-74
13983	3489240	4.24	25.5	846D 13H-7 43-44
13992	3490992	4.51	25	846C 13H-5  83-84
13994	3491381	6.71	24.8	846D 13H-7 53-54
14002	3492940	3.36	26.1	846C 13H-5  93-94
14004	3493330	6.01	24.8	846D 13H-7 63-64
14007	3493917	3.33	26.1	846C 13H-5  103-104
14013	3495090	3.11	26.2	846C 13H-5  113-114
14021	3496658	3.1	26.4	846C 13H-5  123-124
14030	3498450	8.7	26.2	846C 13H-5  133-134
14043	3501059	2.8	26.5	846C 13H-5  143-144
14053	3503060	3.04	26.2	846C 13H-6 3-4
14063	3505060	4.91	25.9	846C 13H-6 13-14
14073	3507068	4.91	25.8	846C 13H-6 23-24
14082	3508870	4.41	25.8	846C 13H-6 33-34
14093	3511438	3.96	26	846C 13H-6 43-44
14104	3514735	3.95	26.2	846C 13H-6 53-54
14114	3517864	3.58	25.7	846C 13H-6 63-64
14123	3520683	4.94	26	846C 13H-6 73-74
14132	3523496	5.05	26.2	846C 13H-6 83-84
14141	3526415	4.7	26.4	846C 13H-6 93-94
14151	3529742	2.58	26.5	846C 13H-6 103-104
14162	3533413	2.68	26.3	846C 13H-6 113-114
14173	3537107	3.94	26	846C 13H-6 123-124
14183	3540492	4.92	25.6	846C 13H-6 133-134
14193	3543850	5.92	25.7	846C 13H-6 143-144
14203	3546912	7.49	25.8	846C 13H-7  3-4
14213	3549894	8.82	25.7	846C 13H-7  13-14
14223	3552882	4.63	25.7	846D 14H-1 13-14
14233	3555864	5.18	25.3	846C 13H-7  33-34
14243	3558852	4.53	25.4	846C 13H-7  43-44
14253	3561834	5.96	25.6	846D 14H-1 43-44
14263	3564822	5.75	25.6	846D 14H-1 53-54
14273	3567804	4.16	25.5	846D 14H-1 63-64
14283	3570792	4.29	25.8	846D 14H-1 73-74
14293	3573774	4.4	26.1	846D 14H-1 83-84
14303	3576898	4.9	26	846D 14H-1 93-94
14313	3580082	5.86	25.9	846D 14H-1 103-104
14323	3583264	7.6	25.4	846D 14H-1 113-114
14333	3586444	7.27	25.3	846D 14H-1 123-124
14343	3589632	7.92	25.6	846D 14H-1 133-134
14353	3592814	5.12	25.8	846D 14H-1 143-144
14363	3596066	5.51	25.6	846D 14H-2 3-4
14373	3599344	3.63	25.8	846D 14H-2 13-14
14383	3602632	3.87	25.9	846D 14H-2 23-24
14393	3605914	4.04	26.1	846D 14H-2 33-34
14403	3609194	3.76	25.9	846D 14H-2 43-44
14413	3612482	3.3	25.9	846D 14H-2 53-54
14423	3615844	6.02	25.3	846D 14H-2 63-64
14433	3619480	5.43	25	846D 14H-2 73-74
14443	3623172	7.27	24.7	846D 14H-2 83-84
14453	3626870	6.39	24.7	846D 14H-2 93-94
14463	3630562	7.63	24.8	846D 14H-2 103-104
14473	3634180	6.97	25.1	846D 14H-2 113-114
14483	3637532	2.08	25.7	846D 14H-2 123-124
14490	3639833	6.13	25.4	846D 14H-2 133-134
14503	3644095	6.07	25.7	846D 14H-2 143-144
14513	3647382	5.3	26	846D 14H-3 3-4
14523	3650664	4.17	26.1	846D 14H-3 13-14
14533	3653920	4.47	26	846D 14H-3 23-24
14543	3657138	4.48	25.9	846D 14H-3 33-34
14553	3660348	5.58	25.9	846D 14H-3 43-44
14564	3663887	10.12	25.6	846D 14H-3 53-54
14574	3667098	11.6	25.8	846D 14H-3 63-64
14586	3670957	14.36	25.3	846D 14H-3 73-74
14597	3674497	11.56	25.5	846D 14H-3 83-84
14607	3677708	9.57	25.7	846D 14H-3 93-94
14618	3681353	5.77	26.4	846D 14H-3 103-104
14629	3685137	3.93	26.6	846D 14H-3 113-114
14640	3688939	3.03	26.8	846D 14H-3 123-124
14651	3692747	3.86	26.4	846D 14H-3 133-134
14673	3700304	3.38	26.5	846D 14H-4 3-4
14684	3703901	3.34	26.6	846D 14H-4 13-14
14695	3707471	2.99	26.6	846D 14H-4 23-24
14706	3711041	3.23	26.4	846D 14H-4 33-34
14717	3714611	5.2	26.2	846D 14H-4 43-44
14728	3718091	6.39	26	846D 14H-4 53-54
14738	3721160	3.7	26.6	846D 14H-4 63-64
14747	3723893	2.82	27	846D 14H-4 73-74
14756	3726631	2.41	27.3	846D 14H-4 83-84
14766	3729672	2.73	27.1	846D 14H-4 93-94
14775	3732411	3.33	26.8	846D 14H-4 103-104
14784	3735151	3.26	26.5	846D 14H-4 113-114
14793	3737891	2.64	26.8	846D 14H-4 123-124
14803	3740932	2.81	26.9	846D 14H-4 133-134
14812	3743671	3.69	26.5	846D 14H-4 143-144
14821	3746427	4.65	26.1	846D 14H-5 3-4
14831	3749584	5.47	26.1	846D 14H-5 13-14
14840	3752445	6.61	26.1	846D 14H-5 23-24
14849	3755312	8.01	26.3	846D 14H-5 33-34
14858	3758175	5.67	26.4	846D 14H-5 43-44
14868	3761354	5.88	26.6	846D 14H-5 53-54
14877	3764137	5.01	26.8	846D 14H-5 63-64
14886	3766897	3.91	26.6	846D 14H-5 73-74
14895	3769680	4.01	26.8	846D 14H-5 83-84
14905	3772868	4.07	26.7	846D 14H-5 93-94
14914	3775758	4.61	26.5	846D 14H-5 103-104
14926	3779608	3.29	26.7	846D 14H-5 113-114
14938	3783458	3.84	26.7	846D 14H-5 123-124
14950	3787317	3.14	27	846D 14H-5 133-134
14964	3791954	3.19	27.1	846D 14H-5 143-144
14974	3795468	3.45	27.2	846D 14H-6 3-4
14987	3800098	4.75	26.9	846D 14H-6 13-14
14999	3804368	5.75	26.5	846D 14H-6 23-24
15011	3808638	2.8	26.9	846D 14H-6 33-34
15013	3809350	2.85	27.2	846C 14H-4 133-134
15023	3813142	5.04	27.1	846C 14H-4 143-144
15033	3817106	4.89	26.8	846C 14H-5 3-4
15036	3818309	3.74	27.3	846D 14H-6 53-54
15043	3821110	6.44	26.3	846C 14H-5 13-14
15048	3823110	4.49	26.9	846D 14H-6 63-64
15060	3828168	5.87	26.2	846D 14H-6 73-74
15063	3829393	7.92	26.1	846C 14H-5 23-24
15071	3832375	8.66	26.2	846D 14H-6 83-84
15073	3833120	8.03	26.2	846C 14H-5 33-34
15081	3836107	8.3	26.2	846D 14H-6 93-94
15084	3837225	3.61	26.5	846C 14H-5 43-44
15091	3839838	2.89	26.7	846D 14H-6 103-104
15095	3841333	2.77	26.8	846C 14H-5 53-54
15101	3843573	2.98	26.7	846D 14H-6 113-114
15104	3844693	2.29	27	846C 14H-5 63-64
15113	3848551	2.77	26.8	846C 14H-5 73-74
15122	3852722	3.33	26.1	846C 14H-5 83-84
15133	3857121	2.35	26.6	846C 14H-5 93-94
15144	3861269	3.47	26.6	846C 14H-5 103-104
15153	3864626	4.43	26.4	846C 14H-5 113-114
15163	3868322	5.73	26.1	846C 14H-5 123-124
15172	3871510	7.03	25.6	846C 14H-5 133-134
15183	3875377	7.24	25.6	846C 14H-5 143-144
15194	3879296	5.62	26.1	846C 14H-6 3-4
15204	3882874	5.51	26.3	846C 14H-6 13-14
15212	3885735	4.04	26.5	846C 14H-6 23-24
15219	3888236	3.62	26.5	846C 14H-6 33-34
15225	3890383	2.64	27	846C 14H-6 43-44
15232	3892886	3.8	26.7	846C 14H-6 53-54
15240	3895745	3.09	26.4	846C 14H-6 63-64
15252	3900027	3.89	26.3	846C 14H-6 73-74
15259	3902526	3.48	26.5	846D 15H-1 3-4
15267	3905385	3.14	26.7	846C 14H-6 83-84
15269	3906100	3.43	26.5	846D 15H-1 13-14
15277	3908965	3.94	26.5	846D 15H-1 23-24
15279	3909680	3.58	26.6	846C 14H-6 93-94
15287	3912535	6.22	26.1	846C 14H-6 103-104
15295	3915365	7.8	26.1	846D 15H-1 43-44
15302	3917834	7.33	25.9	846D 15H-1 53-54
15310	3920648	6.36	25.7	846D 15H-1 63-34
15319	3923808	3.52	26.7	846D 15H-1 73-74
15331	3928027	3.68	26.9	846D 15H-1 83-84
15344	3932546	3.07	26.7	846D 15H-1 93-94
15356	3936623	1.88	26.9	846D 15H-1 103-104
15368	3940692	3.56	26.6	846D 15H-1 113-114
15378	3943938	4.16	26.3	846D 15H-1 123-124
15387	3946805	3.55	26.3	846D 15H-1 133-134
15396	3949828	3.49	26.5	846D 15H-1 143-144
15405	3952836	3.85	26.5	846D 15H-2 3-4
15413	3955150	3.15	26.5	846D 15H-2 13-14
15423	3957780	2.81	26.2	846D 15H-2 23-24
15434	3960288	2.85	26.2	846D 15H-2 33-34
15445	3962718	3.31	26.4	846D 15H-2 43-44
15459	3965817	4.95	26.4	846D 15H-2 53-54
15474	3969137	5.14	26.3	846D 15H-2 63-64
15489	3972449	5.25	26.2	846D 15H-2 73-74
15507	3976428	4.76	26.1	846D 15H-2 83-84
15522	3979739	5.37	26	846D 15H-2 93-94
15535	3982609	5.87	25.6	846D 15H-2 103-104
15545	3984818	5.11	25.5	846D 15H-2 113-114
15555	3987428	6.76	25.4	846D 15H-2 123-124
15564	3989907	5.8	25.3	846D 15H-2 133-134
15573	3992389	4.56	25.4	846D 15H-2 143-144
15581	3994275	7.56	25.4	846D 15H-3 3-4
15591	3996584	5.23	25.7	846D 15H-3 13-14
15602	3999488	5.02	25.7	846D 15H-3 23-24
15613	4002477	6.09	25.5	846D 15H-3 33-34
15623	4005332	5.89	25.7	846D 15H-3 43-44
15634	4008651	3.9	25.9	846D 15H-3 53-54
15644	4011700	4.5	25.6	846D 15H-3 63-64
15653	4014441	4.37	25.8	846D 15H-3 73-74
15662	4017181	4.18	26.2	846D 15H-3 83-84
15672	4020222	3.73	26.3	846D 15H-3 93-94
15682	4023270	2.61	26.6	846D 15H-3 103-104
15692	4026312	3.09	26.5	846D 15H-3 113-114
15702	4029504	2.98	26.1	846D 15H-3 123-124
15713	4033235	3.67	25.9	846D 15H-3 133-134
15723	4036728	3.51	26.1	846D 15H-3 143-144
15733	4040262	2.63	26.3	846D 15H-4 3-4
15743	4043802	4.33	26.3	846D 15H-4 13-14
15753	4047510	4.05	26.3	846D 15H-4 23-24
15763	4051404	4.45	26.1	846D 15H-4 33-34
15773	4055334	6.18	26	846D 15H-4 43-44
15783	4059264	5.1	26	846D 15H-4 53-54
15793	4063194	2.92	26.3	846D 15H-4 63-64
15803	4067132	3.84	25.9	846D 15H-4 73-74
15813	4071144	3.54	26.3	846D 15H-4 83-84
15823	4075174	2.09	26.5	846D 15H-4 93-94
15833	4079972	2.37	26.7	846D 15H-4 103-104
15842	4085201	2.6	26.5	846D 15H-4 113-114
15852	4090898	2.99	26.5	846D 15H-4 123-124
15862	4095556	3.94	26.3	846D 15H-4 133-134
15872	4099664	3.25	26.5	846D 15H-4 143-144
15881	4103122	3.34	26.4	846D 15H-5 3-4
15891	4106896	2.84	26.6	846D 15H-5 13-14
15900	4110411	4.1	26.6	846D 15H-5 23-24
15910	4114176	3.74	26.4	846D 15H-5 33-34
15921	4117767	3.4	26.2	846D 15H-5 43-44
15932	4121239	2.74	26.3	846D 15H-5 53-54
15943	4124022	2.03	26.8	846D 15H-5 63-64
15954	4126636	2.59	27	846D 15H-5 73-74
15964	4128998	3.34	27	846D 15H-5 83-84
15974	4131350	3.2	26.5	846D 15H-5 93-94
15982	4133223	2.98	26.3	846D 15H-5 103-104
15990	4135093	2.54	26.5	846D 15H-5 113-114
15998	4136970	3.1	26.7	846D 15H-5 123-124
16004	4138373	3.13	26.9	846D 15H-5 133-134
16011	4140133	2.63	26.7	846D 15H-5 143-144
16018	4142114	2.83	26.4	846D 15H-6 3-4
16025	4144164	2.48	26.6	846D 15H-6 13-14
16033	4146505	2.61	26.7	846D 15H-6 23-24
16041	4148845	2.48	26.6	846D 15H-6 33-34
16050	4151608	4.22	26.4	846D 15H-6 43-44
16060	4154726	4.05	26.3	846D 15H-6 53-54
16071	4158173	4.46	26.3	846D 15H-6 63-64
16083	4161950	4.32	26.7	846D 15H-6 73-74
16096	4166041	2.67	26.8	846D 15H-6 83-84
16109	4170139	2.42	27	846D 15H-6 93-94
16123	4174747	2.67	26.9	846D 15H-6 103-104
16136	4179311	2.39	26.7	846D 15H-6 113-114
16149	4183912	2.9	26.5	846D 15H-6 123-124
16158	4187125	3.91	26.6	846D 15H-6 133-134
16167	4190368	3.13	26.8	846D 15H-6 143-144
16173	4192537	2.72	27	846D 15H-7 3-4
16179	4194700	3	26.6	846D 15H-7 13-14
16184	4196500	3.79	26.4	846D 15H-7 23-24
16189	4198306	4.53	26.2	846D 15H-7 33-34
16196	4200837	2.49	26.6	846D 15H-7 43-44
16199	4201883	3.35	26.5	846B 16H-2 23-24
16203	4203175	3.54	26.9	846D 15H-7 53-54
16209	4205002	5.05	26.7	846B 16H-2 33-34
16216	4207069	3.87	27.1	846D 15H-7 63-64
16219	4207926	3.4	27	846B 16H-2 43-44
16229	4210582	2.8	26.9	846B 16H-2 53-54
16239	4213239	3.12	26.5	846B 16H-2 63-64
16249	4215792	3.96	26.3	846B 16H-2 73-74
16260	4218518	4.53	26.4	846B 16H-2 83-84
16270	4220984	4.01	26.7	846B 16H-2 93-94
16279	4223150	3.54	27.2	846B 16H-2 103-104
16287	4224764	2.75	27.2	846B 16H-2 113-114
16295	4226337	2.45	27.1	846B 16H-2 123-124
16303	4227913	2.25	27	846B 16H-2 133-134
16311	4229493	3.37	26.9	846B 16H-2 143-144
16322	4231663	3.03	26.6	846B 16H-3 3-4
16333	4233835	3.53	26.7	846B 16H-3 13-14
16344	4236382	4.65	26.6	846B 16H-3 23-24
16354	4239253	3.52	26.7	846B 16H-3 33-34
16363	4241944	3.72	27.3	846B 16H-3 53-54
16364	4242242	3.18	27.1	846B 16H-3 43-44
16382	4247612	4.34	27.1	846B 16H-3 63-64
16392	4250650	4.57	27	846B 16H-3 73-74
16402	4253852	6.59	26.9	846B 16H-3 83-84
16413	4257405	4.79	27.2	846B 16H-3 93-94
16415	4258050	3.73	27.2	846D 16H-1 3-4
16424	4260963	4.94	27.3	846B 16H-3 103-104
16425	4261287	4.95	26.5	846D 16H-1 13-14
16434	4264202	4.08	27.2	846B 16H-3 113-114
16435	4264526	6.44	27.2	846D 16H-1 23-24
16444	4267602	6.64	27.2	846B 16H-3 123-124
16445	4267946	6.46	27.2	846D 16H-1 33-34
16453	4271003	4.35	27.4	846B 16H-3 133-134
16455	4271777	4.16	27.4	846D 16H-1 43-44
16463	4274873	3.44	27.5	846B 16H-3 143-144
16465	4275635	3.44	27.5	846D 16H-1 53-54
16473	4278632	4.4	27.4	846B 16H-4 3-4
16475	4279381	4.43	27.5	846D 16H-1 63-64
16483	4282028	4.26	27.5	846B 16H-4 13-14
16491	4284558	6.68	27.5	846D 16H-1 73-74
16493	4285190	6.51	27.6	846B 16H-4 23-24
16503	4288381	4.7	27.5	846B 16H-4 33-34
16513	4291572	5.11	27.5	846D 16H-1 83-84
16523	4295025	3.96	27.7	846B 16H-4 53-54
16524	4295377	4.47	27.6	846D 16H-1 93-94
16533	4298554	4.4	27.6	846D 16H-1 103-104
16543	4302076	4.67	27.7	846D 16H-1 113-114
16553	4305188	3.35	27.5	846D 16H-1 123-124
16563	4308046	5.79	27.4	846D 16H-1 133-134
16573	4310858	5.89	27.3	846D 16H-1 143-144
16583	4313716	4.71	27.4	846D 16H-2 3-4
16593	4316594	3.91	27.5	846D 16H-2 13-14
16603	4319474	3.66	27.7	846D 16H-2 23-24
16613	4322338	3.48	27.7	846D 16H-2 33-34
16623	4325214	3.77	27.6	846D 16H-2 43-44
16633	4328094	6.42	27.4	846D 16H-2 53-54
16643	4330966	8.58	27.4	846D 16H-2 63-64
16653	4334220	6.7	27.5	846D 16H-2 73-74
16662	4337410	4.77	27.6	846D 16H-2 83-84
16673	4341362	7.44	27.3	846D 16H-2 93-94
16683	4345120	4.54	26.9	846D 16H-2 103-104
16693	4349128	5.16	27.2	846D 16H-2 113-114
16703	4353164	3.42	27.4	846D 16H-2 123-124
16713	4357066	4.27	27.4	846D 16H-2 133-134
16723	4360944	4.93	27.4	846D 16H-2 143-144
16733	4364824	6.92	27.1	846D 16H-3 3-4
16743	4368696	7.9	27	846D 16H-3 13-14
16753	4372574	10.27	27	846D 16H-3 23-24
16763	4376454	9.7	27	846D 16H-3 33-34
16773	4380334	7.13	27.1	846D 16H-3 43-44
16783	4384038	5.61	27.3	846D 16H-3 53-54
16793	4387066	4.89	27.4	846D 16H-3 63-64
16803	4389936	4.78	27.4	846D 16H-3 73-74
16813	4392798	4.06	27.4	846D 16H-3 83-84
16823	4395658	4.18	27.3	846D 16H-3 93-94
16833	4398478	4.34	27.4	846D 16H-3 103-104
16843	4401232	4.9	27.2	846D 16H-3 113-114
16854	4404243	4.98	27.1	846D 16H-3 123-124
16864	4406974	7.77	26.8	846D 16H-3 133-134
16873	4409426	7.2	26.8	846D 16H-3 143-144
16883	4412154	8.48	26.8	846D 16H-4 3-4
16892	4414614	8.39	26.9	846D 16H-4 13-14
16902	4417056	7.76	27	846D 16H-4 23-24
16913	4419600	2.15	27.1	846D 16H-4 33-34
16923	4421948	5.83	27.1	846D 16H-4 43-44
16933	4424508	5.36	26.9	846D 16H-4 53-54
16943	4427126	4.67	27	846D 16H-4 63-64
16953	4429738	3.73	27.1	846D 16H-4 73-74
16963	4432348	3.25	27	846D 16H-4 83-84
16973	4434950	3.08	26.8	846D 16H-4 93-94
16983	4437566	4.38	26.7	846D 16H-4 103-104
16993	4440178	6.93	26	846D 16H-4 113-114
17003	4442788	6.24	26.4	846D 16H-4 123-124
17013	4445166	5.43	26.6	846D 16H-4 133-134
17023	4447302	5.01	26.6	846D 16H-4 143-144
17033	4449392	4.44	26.7	846D 16H-5 3-4
17044	4451692	4.37	26.6	846D 16H-5 13-14
17054	4453782	4.12	26.4	846D 16H-5 23-24
17064	4455872	5.67	26.2	846D 16H-5 33-34
17073	4457752	5.66	26.2	846D 16H-5 43-44
17083	4459834	4.29	26.1	846D 16H-5 53-54
17093	4461922	4.03	26	846D 16H-5 63-64
17104	4464222	4.46	25.9	846D 16H-5 73-74
17114	4466304	3.57	25.9	846D 16H-5 83-84
17124	4468392	4.16	25.7	846D 16H-5 93-94
17133	4470272	3.75	25.8	846D 16H-5 103-104
17143	4472362	4.31	25.9	846D 16H-5 113-114
17152	4474242	3.4	26.3	846D 16H-5 123-124
17162	4476332	3.41	26.5	846D 16H-5 133-134
17172	4478422	2.33	26.6	846D 16H-5 143-144
17183	4481033	2.64	26.9	846D 16H-6 3-4
17193	4484080	2.54	26.7	846D 16H-6 13-14
17203	4487328	2.45	26.7	846D 16H-6 23-24
17213	4490732	2.7	26.3	846D 16H-6 33-34
17223	4494380	2.55	26.3	846D 16H-6 43-44
17233	4498080	3.31	26.2	846D 16H-6 53-54
17243	4501844	3.64	26.2	846D 16H-6 63-64
17253	4505912	3.92	26	846D 16H-6 73-74
17263	4510044	4.79	25.9	846D 16H-6 83-84
