Hole	"core,section"	top(cm)	composite_depth	age_(ka)	benthic d18O	Uk'37	SST
1020C	4H-4	125	31.62	280.1612258	-999	0.265	6.643
1020C	4H-4	147	31.84	282.1007742	4.65	-999	-999
1020C	4H-5	0	31.87	282.3652581	-999	0.317	8.187
1020C	4H-5	17	32.04	283.864	4.47	-999	-999
1020C	4H-5	25	32.12	284.5692903	-999	0.32	8.265
1020C	4H-5	37	32.24	285.6272258	4.375	-999	-999
1020C	4H-5	50	32.37	286.7733226	-999	0.336	8.721
1020C	4H-5	57	32.44	287.3904516	4.23	-999	-999
1020C	4H-5	75	32.62	288.9773548	-999	0.394	10.435
1020C	4H-5	77	32.64	289.1536774	4.185	-999	-999
1020C	4H-5	97	32.84	291.4021429	4.2	-999	-999
1020C	4H-5	100	32.87	291.7475	-999	0.288	7.322
1020C	4H-5	117	33.04	293.7045238	4.37	-999	-999
1020C	4H-5	125	33.12	294.6254762	-999	0.264	6.632
1020C	4H-5	137	33.24	296.0069048	4.58	-999	-999
1020C	4H-6	0	33.37	297.5034524	-999	0.306	7.84
1020C	4H-6	7	33.44	298.3092857	4.64	-999	-999
1020C	4H-6	25	33.62	300.125	-999	0.301	7.716
1020D	4H-2	27	33.63	300.21875	4.44	-999	-999
1020C	4H-6	27	33.64	300.3125	4.58	-999	-999
1020D	4H-2	50	33.86	302.375	-999	0.293	7.472
1020D	4H-2	47	33.88	302.5625	4.29	-999	-999
1020C	4H-6	47	33.9	302.75	4.44	-999	-999
1020C	4H-6	50	33.93	303.03125	-999	0.329	8.519
1020D	4H-2	67	34.09	304.53125	4.23	-999	-999
1020C	4H-6	67	34.1	304.625	4.44	-999	-999
1020C	4H-6	75	34.18	305.375	-999	0.349	9.111
1020D	4H-2	74	34.2	305.5625	-999	0.345	9.007
1020D	4H-2	87	34.28	306.3125	4.03	-999	-999
1020C	4H-6	87	34.3	306.5	4.68	-999	-999
1020D	4H-2	100	34.42	307.625	-999	0.269	6.759
1020D	4H-2	107	34.49	308.28125	4.31	-999	-999
1020D	4H-2	124	34.66	309.875	-999	0.35	9.136
1020D	4H-2	127	34.69	310.15625	4.05	-999	-999
1020C	4H-6	127	34.7	310.25	3.96	-999	-999
1020D	4H-2	144	34.86	311.75	-999	0.359	9.415
1020D	4H-2	147	34.89	312.03125	3.86	-999	-999
1020C	4H-6	147	34.9	312.125	3.95	-999	-999
1020D	4H-3	0	34.92	312.3125	-999	0.364	9.568
