# NOAA Paleoclimatology Program - Paleocean Site Data
# odp847-tab.txt
# Complete Data
# File Created: 19-Mar-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Medina-Elizalde
# Core/Site:      ODP847
# Latitude:       0.12.00N	( 0.2)
# Longitude:      95.19.00W	( -95.31667)
# Water Depth(m): 3373
#
# Publications:
#   Medina-Elizalde, M., D.W. Lea, and M.S. Fantle. 2008. Implications of seawater
#     Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction. Earth
#     and Planetary Science Letters, 269(3-4), 585-595.
#------------------
#
# Description & Notes:
#   Plio-Pleistocene Seawater Mg/Ca Variability Data and SST reconstruction
#   All Mg/Ca data from Wara et al., 2005, Science
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca-g.sac   Magnesium/Calcium ratio (Globigerinoides sacculifer) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             sst-mg/ca.adj Sea surface temperature from Mg/Ca adjusted for Mg/Ca variation
#
# CORE: ODP847
depth	yrBP 	Mg/Ca-g.sac	sst-mg/ca	sst-mg/ca.adj	
-999	4488000	3.611	28.527	31.542	
-999	4500000	2.861	25.942	28.935	
-999	4512000	3.159	27.042	30.008	
-999	4524000	3.202	27.192	30.131	
-999	4536000	3.353	27.705	30.617	
-999	4548000	3.451	28.023	30.908	
-999	4560000	3.548	28.333	31.191	
-999	4572000	3.646	28.634	31.464	
-999	4584000	3.743	28.927	31.73	
-999	4596000	3.362	27.736	30.512	
-999	4608000	3.378	27.785	30.533	
-999	4620000	3.014	26.52	29.24	
-999	4632000	3.07	26.725	29.417	
-999	4644000	3.19	27.151	29.816	
-999	4656000	3.205	27.203	29.84	
-999	4668000	2.96	26.319	28.929	
-999	4680000	2.8	25.702	28.283	
-999	4692000	3.304	27.541	30.095	
-999	4704000	2.882	26.024	28.55	
-999	4716000	3.633	28.597	31.094	
-999	4728000	5.161	32.497	34.967	
-999	4740000	3.322	27.601	30.043	
-999	4752000	3.06	26.688	29.103	
-999	4764000	3.02	26.542	28.932	
-999	4776000	2.985	26.413	28.779	
-999	4788000	2.966	26.342	28.683	
-999	4800000	2.961	26.321	28.639	
-999	4812000	3.024	26.557	28.85	
-999	4824000	2.789	25.659	27.927	
-999	4836000	2.658	25.124	27.368	
-999	4848000	2.672	25.183	27.403	
-999	4860000	2.686	25.242	27.436	
-999	4872000	2.701	25.3	27.47	
-999	4884000	2.92	26.168	28.313	
-999	4896000	2.463	24.276	26.397	
-999	4908000	2.427	24.112	26.207	
-999	4920000	2.345	23.733	25.804	
-999	4932000	2.857	25.927	27.973	
-999	4944000	2.814	25.755	27.776	
-999	4956000	2.711	25.341	27.337	
-999	4968000	2.707	25.325	27.296	
-999	4980000	2.947	26.269	28.215	
-999	4992000	3.182	27.122	29.044	
