Hole			rmcd	rmcd(7/12/01)		age			
1012A	3H-2	105	17.65	17.65	3.7	198.94	0.653	18.1	18.74
1012A	3H-2	115	17.75	17.75	3.78	200.69	0.601	16.5	43.38
1012A	3H-2	125	17.85	17.85	3.94	202.44	0.62	17.1	23.52
1012A	3H-2	135	17.95	17.95	3.55	204.18	0.616	17	29.83
1012A	3H-2	145	18.05	18.05	3.75	205.93	0.628	17.3	32.81
1012A	3H-3	5	18.15	18.15	3.68	207.68	0.642	17.7	37.47
1012A	3H-3	15	18.25	18.25	3.59	209.42	0.641	17.7	37.54
1012A	3H-3	25	18.35	18.35	3.54	211.17	0.659	18.2	29.82
1012A	3H-3	35	18.45	18.45	3.34	212.92	0.668	18.5	25.32
1012A	3H-3	45	18.55	18.55	3.44	214.67	0.67	18.6	21.58
1012A	3H-3	55	18.65	18.65	3.43	216.24	0.681	18.9	15.63
1012A	3H-3	65	18.75	18.75	3.47	217.23	0.681	18.9	14.12
1012A	3H-3	75	18.85	18.85	3.455	218.23	0.657	18.2	13.5
1012B	3H-1	25	18.936	18.936	-999	219.08	0.616	17	10.61
1012A	3H-3	85	18.95	18.95	3.395	219.22	0.632	17.4	13.25
1012B	3H-1	35	19.0393	19.0393	3.86	220.11	0.558	15.3	11.31
1012B	3H-1	45	19.1395	19.1395	3.95	221.11	0.515	14	13.97
1012A	3H-3	105	19.15	19.15	3.94	221.21	0.518	14.1	12.89
1012B	3H-1	55	19.2379	19.2379	3.9	222.09	0.497	13.5	16.31
1012B	3H-1	65	19.3356	19.3356	4.25	223.06	0.493	13.3	18.38
1012A	3H-3	125	19.35	19.35	4.11	223.2	0.487	13.2	17.86
1012B	3H-1	75	19.4325	19.4325	4.29	224.17	0.504	13.7	19.14
1012B	3H-1	85	19.5287	19.5287	4.295	225.58	0.537	14.6	18.76
1012B	3H-1	95	19.6244	19.6244	4.29	226.97	0.585	16.1	23.87
1012B	3H-1	105	19.7196	19.7196	4.07	228.36	0.57	15.6	24.37
1012B	3H-1	115	19.8146	19.8146	4.03	229.74	0.538	14.7	24.12
1012B	3H-1	125	19.9096	19.9096	3.98	231.13	0.571	15.6	33.12
1012B	3H-1	135	20.0048	20.0048	3.95	232.51	0.562	15.4	32.68
1012B	3H-1	145	20.1011	20.1011	3.96	233.92	0.605	16.6	35.42
1012B	3H-2	4	20.198	20.198	3.78	235.33	0.604	16.6	32.6
1012B	3H-2	15	20.2955	20.2955	3.72	236.75	0.607	16.7	32.86
1012B	3H-2	25	20.3938	20.3938	3.2	238.18	0.627	17.3	26.44
1012B	3H-2	35	20.4928	20.4928	3.28	239.49	0.632	17.4	24.69
1012B	3H-2	45	20.5926	20.5926	3.43	240.63	0.634	17.5	22.68
1012B	3H-2	55	20.693	20.693	3.34	241.78	0.642	17.7	16.26
1012B	3H-2	65	20.7943	20.7943	3.85	242.94	0.645	17.8	11.51
1012B	3H-2	75	20.8962	20.8962	4.22	244.1	0.625	17.2	10.05
1012B	3H-2	85	20.9982	20.9982	4.25	245.27	0.579	15.9	9.92
1012B	3H-2	95	21.1003	21.1003	4.09	246.44	0.527	14.4	16.32
1012B	3H-2	105	21.2022	21.2022	3.86	247.61	0.505	13.7	23.26
1012B	3H-2	115	21.3038	21.3038	4.25	248.77	0.513	13.9	27.39
1012B	3H-2	125	21.4047	21.4047	4.19	249.92	0.508	13.8	25.59
1012B	3H-2	135	21.5049	21.5049	4.35	251.07	0.49	13.3	27.52
1012B	3H-2	145	21.605	21.605	4.425	252.21	0.502	13.6	28.73
1012B	3H-3	4	21.6975	21.6975	4.43	253.34	0.478	12.9	34.25
1012B	3H-3	15	21.8098	21.8098	4.4	254.74	0.489	13.2	34.72
1012B	3H-3	25	21.9107	21.9107	4.42	256	0.49	13.3	38.26
1012B	3H-3	35	22.0106	22.0106	4.42	257.24	0.493	13.4	32.98
1012B	3H-3	45	22.1095	22.1095	4.31	258.47	0.483	13.1	31.18
1012B	3H-3	55	22.2077	22.2077	4.34	259.7	0.468	12.6	30.51
1012B	3H-3	65	22.3052	22.3052	4.33	260.91	0.476	12.9	29.66
1012B	3H-3	75	22.4023	22.4023	4.31	262.23	0.478	12.9	31.84
1012B	3H-3	85	22.4994	22.4994	4.36	264.52	0.473	12.8	33.45
1012B	3H-3	95	22.5966	22.5966	4.3	266.81	0.427	11.4	22.8
1012B	3H-3	105	22.6941	22.6941	4.39	269.11	0.41	10.9	16.92
1012B	3H-3	115	22.7921	22.7921	4.45	271.42	0.467	12.6	15.95
1012B	3H-3	125	22.8908	22.8908	4.15	273.62	0.477	12.9	10.01
1012B	3H-3	135	22.9902	22.9902	4.5	274.75	0.487	13.2	12.76
1012B	3H-3	145	23.0904	23.0904	4.39	275.9	0.481	13	15.13
1012B	3H-4	4	23.1811	23.1811	4.41	276.93	0.483	13.1	18.96
1012B	3H-4	15	23.2927	23.2927	4.18	278.2	0.489	13.2	23.78
1012B	3H-4	25	23.3947	23.3947	4.26	279.37	0.495	13.4	27.56
1012B	3H-4	35	23.4969	23.4969	4.29	280.53	0.502	13.6	34.14
1012B	3H-4	45	23.5991	23.5991	4.01	281.7	0.524	14.3	46.99
1012B	3H-4	55	23.6995	23.6995	3.99	282.84	0.53	14.4	46.97
1012B	3H-4	65	23.7999	23.7999	4.06	283.99	0.576	15.8	47.63
1012B	3H-4	75	23.9006	23.9006	3.98	285.14	0.601	16.5	34.86
1012B	3H-4	85	24.0016	24.0016	3.82	286.29	0.612	16.8	32.21
1012B	3H-4	95	24.1033	24.1033	-999	287.45	0.623	17.2	27.11
1012B	3H-4	105	24.2058	24.2058	3.685	288.71	0.604	16.6	25.53
1012B	3H-4	115	24.28	24.28	-999	290.24	0.562	15.4	25.43
1012B	3H-4	125	24.38	24.38	3.965	292.3	0.516	14	22.59
1012B	3H-4	135	24.48	24.48	4.01	294.36	0.565	15.5	20.93
1012B	3H-4	145	24.58	24.58	4.13	296.41	0.592	16.3	22.16
1012B	3H-5	4	24.68	24.68	4.18	298.47	0.576	15.8	19.74
1012B	3H-5	15	24.78	24.78	4.25	300.53	0.597	16.4	27.68
1012B	3H-5	25	24.88	24.88	4.23	302.59	0.597	16.4	31.07
1012B	3H-5	35	24.98	24.98	4.31	303.64	0.613	16.9	35.3
1012B	3H-5	45	25.08	25.08	4.08	304.45	0.619	17	34.98
1012B	3H-5	55	25.18	25.18	3.76	305.25	0.6	16.5	27.97
1012B	3H-5	65	25.28	25.28	4.15	306.06	0.61	16.8	40.77
1012B	3H-5	75	25.38	25.38	3.84	306.86	0.622	17.1	30.64
1012B	3H-5	85	25.48	25.48	3.89	307.66	0.635	17.5	36.19
1012B	3H-5	95	25.58	25.58	3.63	308.47	0.639	17.7	33.54
1012B	3H-5	105	25.68	25.68	3.48	309.27	0.646	17.8	31.75
1012B	3H-5	115	25.78	25.78	3.72	311.03	0.646	17.8	27.61
1012B	3H-5	125	25.88	25.88	3.4	313.17	0.61	16.8	31.47
1012B	3H-5	135	25.98	25.98	3.81	315.3	0.614	16.9	35.9
1012B	3H-5	145	26.08	26.08	3.83	317.44	0.637	17.6	39.55
1012B	3H-6	4	26.18	26.18	3.58	319.57	0.645	17.8	39.57
1012B	3H-6	15	26.28	26.28	3.52	321	0.651	18	36.08
