Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction

LAST UPDATE: 1/2005 (Original Receipt by WDC Paleo)
CONTRIBUTOR: Thibault de Garidel-Thoron, Rutgers University
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-012


SUGGESTED DATA CITATION: de Garidel-Thoron, T., et al.  2005.
Western Pacific Warm Pool Pleistocene paired d18O-Mg/Ca and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-012. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
de Garidel-Thoron, T., Y. Rosenthal1, F. Bassinot, and L. Beaufort. 2005.  
Stable sea surface temperatures in the western Pacific warm pool 
over the past 1.75 million years.  
Nature Vol. 433, No.7023, pp. 294-298 (20 January 2005); doi:10.1038/nature03189 


ABSTRACT:
About 850,000 years ago, the period of the glacial cycles changed
from 41,000 to 100,000 years. This mid-Pleistocene climate
transition has been attributed to global cooling, possibly caused
by a decrease in atmospheric carbon dioxide concentrations.
However, evidence for such cooling is currently restricted to the
cool upwelling regions in the eastern equatorial oceans,
although the tropical warm pools on the western side of the
ocean basins are particularly sensitive to changes in radiative
forcing. Here we present high-resolution records of sea surface
temperatures spanning the past 1.75 million years, obtained from
oxygen isotopes and Mg/Ca ratios in planktonic foraminifera
from the western Pacific warm pool. In contrast with the eastern
equatorial regions, sea surface temperatures in the western
Pacific warm pool are relatively stable throughout the Pleistocene
epoch, implying little long-term change in the tropical net
radiation budget. Our results challenge the hypothesis of a
gradual decrease in atmospheric carbon dioxide concentrations
as a dominant trigger of the longer glacial cycles since 850,000
years ago. Instead, we infer that the temperature contrast across
the equatorial Pacific Ocean increased, which might have had a
significant influence on the mid-Pleistocene climate transition.


PERIOD OF RECORD:  1.75 MMYrBP - present
GEOGRAPHIC REGION: Western Pacific Warm Pool 


DESCRIPTION:  
This dataset is a high-resolution Pleistocene record (0-1.75Myr ago, 
Marine Isotopic Stages Marine Isotopic Stage 1 to MIS 59) of paired 
d18O and Mg/Ca measurements in planktonic foraminifera 
(Globigerinoides ruber, 250-300mm, white) from the IMAGES core MD97-2140 
located in the heart of the Western Pacific warm pool.

Core MD97-2140:  2°02'N   141° 46'E    2547m. depth



DATA:
Column 1: Depth (cm)  
Column 2: Composite depth (cm)
Column 3: Age (ka BP)
Column 4: d18 ruber (p.mil vs PDB)
Column 5: Mg/Ca ruber (mmol/mol)
Column 6: SST (deg.C)	


   Depth  DepthCmp.   Age    d18O    Mg/Ca     SST 
    2292    2280     956    -1.87     4.7      28.9
    2302    2290     962    -1.41     3.9      26.9
    2312    2300     967    -1.74     3.6      26.2
    2322    2310     973     -1.7       4      27.4
    2332    2320     978    -1.98     4.3      28.1
    2342    2330     990    -1.61     4.1      27.6
    2352    2340     992    -1.61     3.8      26.8
    2362    2350     994    -1.75     4.1      27.6
    2372    2360     996    -1.86     4.2      27.9
    2382    2370    1005    -1.52     3.9        27
    2392    2380    1014    -1.97       4      27.3
    2402    2390    1028    -2.05     4.4      28.2
    2412    2400    1030    -1.83     4.2      27.9
    2422    2410    1033    -1.74     4.3        28
    2432    2420    1035    -1.63       4      27.4
    2442    2430    1041    -1.79     3.7      26.5
    2452    2440    1047    -1.91     3.7      26.6
    2462    2450    1051    -1.77     3.6      26.2
    2472    2460    1054    -1.62     4.5      28.5
    2482    2470    1058    -1.55     3.8      26.8
    2492    2480    1068    -2.11     4.2      27.7
    2502    2490    1074    -2.07     4.6      28.7
    2512    2500    1081     -2.1     4.5      28.4
    2522    2510    1087    -1.77     4.2      27.7
    2532    2520    1094    -1.57     3.7      26.4
    2542    2530    1100    -1.48     3.8      26.8
    2552    2540    1106     -1.6     3.7      26.5
    2562    2550    1111    -1.95       4      27.3
    2572    2560    1116    -1.75     4.1      27.4
    2582    2570    1120    -1.38     3.9      27.1
    2592    2580    1125    -1.33     3.8      26.6
    2602    2590    1136    -1.62     3.7      26.5
    2612    2600    1147    -1.78     3.8      26.8
    2622    2610    1151    -1.81     3.7      26.5
    2632    2620    1155    -1.88
    2642    2630    1158    -2.07     3.5      25.7
    2652    2640    1162     -2.1     4.3      28.1
    2662    2650    1170    -1.85     4.1      27.6
    2672    2660    1180    -2.07     4.1      27.4
    2682    2670    1190    -2.02
    2692    2680    1200    -1.45     4.5      28.5
    2702    2690    1209    -1.43       4      27.2
    2712    2700    1214    -1.62     3.8      26.8
    2722    2710    1219    -1.66     3.7      26.4
    2732    2720    1224    -1.55     3.8      26.8
    2742    2730    1227    -1.87     3.5      25.9
    2752    2740    1230    -1.88     3.8      26.8
    2762    2750    1234    -1.99     4.1      27.5
    2772    2760    1237    -2.02     4.4      28.2
    2782    2770    1240    -2.16     4.4      28.2
    2792    2780    1244    -1.98     4.7        29
    2802    2790    1248    -1.29     3.8      26.8
    2812    2800    1260    -1.69     3.5      25.8
    2822    2810    1264    -1.84     3.7      26.4
    2832    2820    1267    -1.96     3.8      26.6
    2842    2830    1274    -1.93     3.5        26
    2852    2840    1281     -1.9     4.2      27.8
    2862    2850    1289    -1.49       4      27.4
    2872    2860    1296    -1.44     3.8      26.7
    2882    2870    1301    -1.49     3.7      26.4
    2892    2880    1307    -1.54     3.8      26.6
    2902    2890    1312    -2.03       4      27.2
    2912    2900    1320    -1.97     4.4      28.3
    2922    2910    1327    -1.83     4.6      28.6
    2932    2920    1332    -1.81       4      27.2
