# Holocene and Last Interglacial Regional SST Stacks and Western Pacific Mg/Ca SST Data																					
#-----------------------------------------------------------------------																					
"#               World Data Service for Paleoclimatology, Boulder"																					
#                                   and																					
#                      NOAA Paleoclimatology Program																					
#-----------------------------------------------------------------------																					
# Template Version 3.0																					
# Encoding: UTF-8																					
"# NOTE: Please cite original publication, online resource and date accessed when using this data."																					
"# If there is no publication information, please cite Investigator, title, online resource and date accessed."																					
#																					
# Description/Documentation lines begin with #																					
# Data lines have no #																					
#																					
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/31752																					
#      Description: NOAA Landing Page																					
# Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/bova2020/bova2020-u1485-sst.txt																					
#      Description: NOAA location of the template																					
#																					
#																					
# Data_Type: Paleoceanography																					
#																					
# Dataset_DOI:																					
#																					
"# Parameter_Keywords: trace metals in carbonates, age control, geochemistry"																					
# 203542	U1485	B	3H 	4W	113	115	17.24	wood fragments	20640	270	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	yes	NaN  
# 214851	U1485	B	3H 	5W	131	133	18.94	wood fragments	21600	1100	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	yes	NaN  
# 207922	U1485	B	3H 	7W	90	92	21.4	wood fragments	23880	200	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	no	NaN  
# 207923	U1485	D	3H 	5W	103	105	24.05	wood fragments	27800	970	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	yes	NaN  
# 214852	U1485	B	4H	3W	90	92	27.45	wood fragments	30550	760	14C AMS	IntCal13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	no	NaN  
# NA	NaN	NaN	NaN	NaN	86.54	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	104.45	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# NA	NaN	NaN	NaN	NaN	88.01	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	106.67	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# NA	NaN	NaN	NaN	NaN	92.04	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	115.35	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# NA	NaN	NaN	NaN	NaN	94.33	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	119.35	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# NA	NaN	NaN	NaN	NaN	96.29	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	124.86	NaN	NaN	correlation to Lisiecki et al. 2005 	NaN	NaN
# NA	NaN	NaN	NaN	NaN	99.7	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	132.3	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# NA	NaN	NaN	NaN	NaN	104.17	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	137.73	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# NA	NaN	NaN	NaN	NaN	105.73	NaN	NaN	benthic d18O	NaN	NaN	NaN	NaN	NaN	NaN	NaN	139.73	NaN	NaN	"correlation to MD95-2042 (Shackleton et al., 2000)"	NaN	NaN
# 																					
#---------------------------------------																					
# Variables																					
"# Data variables follow that are preceded by ""##"" in columns one and two."																					
"# Variables list, one per line, shortname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)"																					
## depth_m	"depth,,,meter,,Paleoceanography; Climate Reconstructions,,,N,"																				
## age_BP	"age,,,calendar kiloyear before present,,Paleoceanography; Climate Reconstructions,,,N,"																				
## mgca_ruber	"magnesium/calcium,Globigerinoides ruber sensu stricto,,millimole per mole,,Paleoceanography,,inductively-coupled plasma mass spectrometry,N,212-300 mm"																				
## sstsn_bay	"sea surface temperature,magnesium/calcium,,degree Celsius,Aug,Paleoceanography; Climate Reconstructions,,,N,using BAYMAG calibration"																				
## sstsn_anom_bay	"sea surface temperature,magnesium/calcium,,degree Celsius,Aug,Paleoceanography; Climate Reconstructions,anomalized,,N,referenced to coretop value; using BAYMAG calibration"																				
## sstsn_anand	"sea surface temperature,magnesium/calcium,,degree Celsius,Aug,Paleoceanography; Climate Reconstructions,,,N,using Anand calibration"																				
## sstsn_anom_anand	"sea surface temperature,magnesium/calcium,,degree Celsius,Aug,Paleoceanography; Climate Reconstructions,anomalized,,N,referenced to coretop value; using Anand calibration"																				
## sstsn_anom_ave	"sea surface temperature,magnesium/calcium,,degree Celsius,Aug,Paleoceanography; Climate Reconstructions,anomalized;averaged,,N,referenced to coretop value; average of results from BAYMAG and Anand calibrations"																				
## sstsn_anom_ave_err	"sea surface temperature,magnesium/calcium,one standard error,degree Celsius,Aug,Paleoceanography; Climate Reconstructions,anomalized,,N,referenced to coretop value; standard error of results from BAYMAG and Anand calibrations"																				
## masst_anom	"sea surface temperature,magnesium/calcium,,degree Celsius,annual,Paleoceanography; Climate Reconstructions,anomalized,,N,SAT (https://github.com/sambova/SAT); referenced to coretop value"																				
## masst_anom_err	"sea surface temperature,magnesium/calcium,one standard error,degree Celsius,annual,Paleoceanography; Climate Reconstructions,anomalized,,N,SAT (https://github.com/sambova/SAT); referenced to coretop value"																				
## sst_method_avg	"Manually edited: sst value (not anomaly) averaged between the two calibration methods. Calculated as the average of sstsn_bay's coretop value and sstsn_anand's coretop value, plus sstsn_anom_ave."																				
## sst_method_avg_+2sd	Manually edited: sst_method_avg plus two times sstsn_anom_ave_err																				
## sst_method_avg_+2sd	Manually edited: sst_method_avg minus two times sstsn_anom_ave_err																				
#------------------------																					
# Data:																					
# Data lines follow (have no #)																					
"# Data line format - tab-delimited text, variable short name as header"																					
# Missing_Values: 																					
depth_m	age_BP	mgca_ruber	sstsn_bay	sstsn_anom_bay	sstsn_anand	sstsn_anom_anand	sstsn_anom_ave	sstsn_anom_ave_err	masst_anom	masst_anom_err	sst_method_avg	sst_method_avg_+2sd	sst_method_avg_-2sd								
0.01	0.105	4.97	30.9	0	29.62	0	0	0	0	0	30.26	30.26	30.26								
0.11	0.199	5.04	31.21	0.32	29.78	0.15	0.23	0.08	0.23	0.08	30.49	30.65	30.33								
0.41	0.604	4.98	30.99	0.1	29.64	0.02	0.06	0.04	0.03	0.04	30.32	30.4	30.24								
0.51	0.747	4.94	30.77	-0.12	29.55	-0.08	-0.1	0.02	-0.13	0.02	30.16	30.2	30.12								
0.61	0.871	5.07	31.22	0.32	29.84	0.22	0.27	0.05	0.24	0.05	30.53	30.63	30.43								
0.71	0.996	4.89	30.75	-0.15	29.45	-0.18	-0.16	0.01	-0.2	0.01	30.1	30.12	30.08								
0.81	1.129	5.12	31.46	0.56	29.96	0.33	0.45	0.11	0.4	0.11	30.71	30.93	30.49								
0.91	1.259	5.17	31.61	0.71	30.06	0.44	0.57	0.14	0.52	0.14	30.83	31.11	30.55								
1.01	1.382	5.17	31.64	0.74	30.07	0.44	0.59	0.15	0.52	0.15	30.85	31.15	30.55								
1.11	1.505	5.02	31.09	0.2	29.73	0.1	0.15	0.05	0.07	0.05	30.41	30.51	30.31								
1.31	1.78	4.93	30.91	0.01	29.54	-0.09	-0.04	0.05	-0.13	0.05	30.22	30.32	30.12								
1.41	1.919	5.09	31.4	0.5	29.89	0.26	0.38	0.12	0.28	0.12	30.64	30.88	30.4								
1.51	2.038	4.91	30.82	-0.08	29.49	-0.13	-0.1	0.03	-0.22	0.03	30.16	30.22	30.1								
1.71	2.287	5.02	31.19	0.3	29.73	0.11	0.2	0.09	0.07	0.1	30.46	30.64	30.28								
1.81	2.429	4.9	30.77	-0.13	29.46	-0.17	-0.15	0.02	-0.3	0.02	30.11	30.15	30.07								
1.91	2.56	4.86	30.63	-0.27	29.38	-0.25	-0.26	0.01	-0.42	0.02	30	30.02	29.98								
2.01	2.761	4.93	30.81	-0.09	29.53	-0.1	-0.09	0.01	-0.27	0.02	30.17	30.19	30.15								
2.11	2.967	5.15	31.59	0.69	30.02	0.4	0.54	0.15	0.35	0.15	30.8	31.1	30.5								
