# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982-l-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Lawrence, K.T., T.D. Herbert, C.M. Brown, M.E. Raymo, and A.M. Haywood. 2009.
#     High-amplitude variations in North Atlantic sea surface temperature during the
#     early Pliocene warm period. Paleoceanography, 24, PA2218.
#------------------
#
# Description & Notes:
#   North Atlantic ODP982 Pliocene Alkenone SST Reconstruction
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             uk37          Alkenone saturation index
#
# CORE: ODP982
depth	calyrBP 	sst-uk37.p	uk37	notes
1866	714140	12	0.45	982B 3H-2 0-2
1891	726802	12.73	0.47	982B 3H-2 25-27
1916	743176	12.11	0.45	982B 3H-2 50-52
1941	759234	12.68	0.47	982B 3H-2 75-77
1966	769680	13.31	0.49	982B 3H-2 100-102
1991	777614	14.14	0.52	982B 3H-2 125-127
2016	785558	13.53	0.5	982B 3H-3 0-2
2041	796374	8.81	0.34	982B 3H-3 25-27
2066	810386	11.62	0.43	982B 3H-3 50-52
2091	819362	11.93	0.44	982B 3H-3 75-77
2116	826478	14.38	0.53	982B 3H-3 100-102
2141	833401	13.46	0.5	982B 3H-3 125-127
2166	840318	13.14	0.49	982B 3H-4 0-2
2191	847238	12.32	0.46	982B 3H-4 25-27
2216	854158	15.4	0.56	982B 3H-4 50-52
2241	862344	13.85	0.51	982B 3H-4 75-77
2266	874698	12.9	0.48	982B 3H-4 100-102
2291	888046	14.09	0.52	982B 3H-4 125-127
2316	899578	12.18	0.45	982B 3H-5 0-2
2341	911110	10.92	0.41	982B 3H-5 25-27
2366	923798	9.94	0.38	982B 3H-5 50-52
2391	936328	11.44	0.43	982B 3H-5 75-77
2416	945650	13.78	0.51	982B 3H-5 100-102
2441	954880	15.24	0.56	982B 3H-5 125-127
2461	963250	11.33	0.42	982D 1H-2 125-127
2486	977578	11.41	0.43	982D 1H-3 0-2
2511	991994	12.32	0.46	982D 1H-3 25-27
2536	1005630	11.75	0.44	982D 1H-3 50-52
2561	1017160	11.83	0.44	982D 1H-3 75-77
2586	1028756	12.95	0.48	982D 1H-3 100-102
2611	1043112	13.51	0.5	982D 1H-3 125-127
2636	1062130	11.38	0.43	982D 1H-4 0-2
2661	1080112	13.56	0.5	982D 1H-4 25-27
2686	1090050	14.77	0.54	982D 1H-4 50-52
2711	1099274	14.53	0.53	982D 1H-4 75-77
2736	1108500	13.08	0.48	982D 1H-4 100-102
2761	1119696	10.38	0.39	982D 1H-4 125-127
2786	1131226	12.24	0.46	982D 1H-5 0-2
2833	1152906	12.29	0.46	982B 4H-1 75-77
2858	1164436	14.95	0.55	982B 4H-1 100-102
2883	1176808	15.63	0.57	982B 4H-1 125-127
2908	1191320	15.84	0.58	982B 4H-2 0-2
2933	1208182	13.62	0.5	982B 4H-2 25-27
2958	1223478	14.86	0.54	982B 4H-2 50-52
2983	1237888	15.13	0.55	982B 4H-2 75-77
3008	1253414	11.93	0.44	982B 4H-2 100-102
3013	1257194	11.36	0.43	982B 4H-2 105-107
3018	1261040	11.75	0.44	982B 4H-2 110-112
3023	1264890	11.26	0.42	982B 4H-2 115-117
3028	1268734	12.89	0.48	982B 4H-2 120-122
3033	1272580	12.94	0.48	982B 4H-2 125-127
3038	1276424	13.99	0.51	982B 4H-2 130-132
3043	1280264	13.37	0.49	982B 4H-2 135-137
3048	1284110	13.72	0.51	982B 4H-2 140-142
3053	1287954	13.65	0.5	982B 4H-2 145-147
3058	1291752	13.25	0.49	982B 4H-3 0-2
3063	1295336	11.92	0.44	982B 4H-3 5-7
3068	1298742	11.44	0.43	982B 4H-3 10-12
3074	1302554	12.69	0.47	982B 4H-3 15-17
3078	1305012	13.76	0.51	982B 4H-3 20-22
3083	1308082	14.13	0.52	982B 4H-3 25-27
3088	1311158	14.4	0.53	982B 4H-3 30-32
3093	1314232	15.33	0.56	982B 4H-3 35-37
3098	1317308	16.13	0.59	982B 4H-3 40-42
3103	1320388	16.05	0.58	982B 4H-3 45-47
3108	1323462	15.77	0.58	982B 4H-3 50-52
3113	1326532	14.77	0.54	982B 4H-3 55-57
3118	1329608	14.64	0.54	982B 4H-3 60-62
3123	1332688	15.1	0.55	982B 4H-3 65-67
