# NOAA Paleoclimatology Program - Paleocean Site Data
# md2-2575-tab.txt
# Complete Data
# File Created: 16-Jul-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Dirk Nuernberg
# Core/Site:      MD02-2575
# Latitude:       29.00.06N	( 29.00167)
# Longitude:      87.07.08W	( -87.11889)
# Water Depth(m): 847
#
# Publications:
#   Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting
#     Loop Current variability and Mississippi River discharge over the past 400 kyr.
#     Earth and Planetary Science Letters, 272(1-2), 278-289.
#------------------
#
# Description & Notes:
#   DeSoto Canyon MD02-2575 400KYr Oxygen Isotope and Geochemical Data
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             susc          Magnetic Susceptibility
#             carb-coar%    Coarse Calcium Carbonate percent
#             d18Og.rub-w   delta O18 PDB (Globigerinoides ruber (white))
#             d18Ou.pereg   delta O18 PDB (Uvigerina peregrina)
#             Mg/Ca-g.rub-w Magnesium/Calcium ratio (Globigerinoides ruber, white) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca (C)
#             d18Og.crass   delta O18 PDB (Globorotalia crassaformis)
#
# CORE: MD02-2575
depth	calyrBP 	susc	carb-coar%	d18Og.rub-w	d18Ou.pereg	Mg/Ca-g.rub-w	sst-mg/ca	d18Og.crass	
256	14271	7	-999	-999	-999	-999	-999	-999	
257	14339	-999	-999	-999	-999	-999	-999	2.285	
258	14407	4	-999	-999	-999	-999	-999	2.655	
260	14543	8	16.196	-0.012	3.908	3.605	25	2.318	
262	14679	9	-999	-999	-999	-999	-999	2.392	
263	14747	-999	-999	-999	-999	-999	-999	2.377	
264	14815	9	-999	-999	-999	-999	-999	-999	
265	14883	-999	10.783	-0.413	3.864	3.529	24.76	2.161	
266	14951	9	-999	-999	-999	-999	-999	-999	
267	15019	-999	-999	-999	-999	-999	-999	2.729	
268	15087	4	-999	-999	-999	-999	-999	2.423	
270	15223	2	10.87	0.23	3.914	3.302	24.02	2.316	
272	15358.6	9	-999	-999	-999	-999	-999	2.75	
273	15426.4	-999	-999	-999	-999	-999	-999	2.474	
274	15494	10	-999	-999	-999	-999	-999	-999	
275	15562	-999	12.654	0.191	4.033	3.481	24.61	2.307	
276	15630	9	-999	-999	-999	-999	-999	-999	
277	15698	-999	-999	-999	-999	-999	-999	2.612	
278	15766	7	-999	-999	-999	-999	-999	1.96	
280	15902	11	10.431	-0.066	4.326	3.306	24.04	2.712	
282	16038	10	-999	-999	-999	-999	-999	2.708	
283	16106	-999	-999	-999	-999	-999	-999	2.602	
284	16174	11	-999	-999	-999	-999	-999	-999	
285	16242	-999	10.137	-0.513	4.44	3.354	24.2	2.869	
286	16310	9	-999	-999	-999	-999	-999	-999	
287	16378	-999	-999	-999	-999	-999	-999	2.449	
288	16446	10	-999	-999	-999	-999	-999	2.456	
290	16582	9	6.706	0.522	4.407	3.503	24.68	2.416	
292	16717	10	-999	-999	-999	-999	-999	2.833	
293	16785.4	-999	-999	-999	-999	-999	-999	2.869	
294	16853	11	-999	-999	-999	-999	-999	-999	
295	16921	-999	11.742	0.292	4.209	3.319	24.08	2.714	
296	16989	12	-999	-999	-999	-999	-999	-999	
298	17125	0	-999	-999	-999	-999	-999	-999	
300	17261	11	-999	-999	-999	-999	-999	-999	
302	17397	11	11.931	0.242	4.297	3.073	23.22	2.478	
304	17533	12	-999	-999	-999	-999	-999	-999	
305	17601	-999	7.732	0.229	-999	3.264	23.89	2.793	
306	17669	13	-999	-999	-999	-999	-999	-999	
308	17805	13	-999	-999	-999	-999	-999	-999	
310	17941	11	10.688	0.595	-999	3.374	24.26	2.631	
312	18076	9	-999	-999	-999	-999	-999	-999	
314	18212	10	-999	-999	-999	-999	-999	-999	
315	18280	-999	11.405	0.091	4.292	3.22	23.74	2.493	
316	18348	11	-999	-999	-999	-999	-999	-999	
318	18484	13	-999	-999	-999	-999	-999	-999	
320	18620	13	6.962	0.256	4.386	3.141	23.47	2.612	
322	18756	13	-999	-999	-999	-999	-999	-999	
324	18892	12	-999	-999	-999	-999	-999	-999	
325	18960	-999	7.956	0.31	4.333	2.855	22.41	2.444	
326	19028	12	-999	-999	-999	-999	-999	-999	
328	19164	13	-999	-999	-999	-999	-999	-999	
330	19300	13	9.329	0.044	4.3	3.029	23.06	2.737	
332	19435	13	-999	-999	-999	-999	-999	-999	
334	19571	12	-999	-999	-999	-999	-999	-999	
335	19639	-999	9.596	-0.373	4.448	3.246	23.83	2.528	
336	19707	13	-999	-999	-999	-999	-999	-999	
338	19843	13	-999	-999	-999	-999	-999	-999	
340	19979	13	11.649	0.244	4.221	3.23	23.78	2.796	
342	20039	14	-999	-999	-999	-999	-999	-999	
344	20100	15	-999	-999	-999	-999	-999	-999	
345	20130	-999	5.568	0.103	4.446	2.782	22.12	2.915	
346	20160	14	-999	-999	-999	-999	-999	-999	
348	20220	12	-999	-999	-999	-999	-999	-999	
350	20280	13	8.649	-0.084	4.387	2.691	21.75	2.977	
352	20341	11	-999	-999	-999	-999	-999	-999	
354	20401	11	-999	-999	-999	-999	-999	-999	
355	20431	-999	6.606	-999	4.425	2.674	21.68	2.826	
356	20461	11	-999	-999	-999	-999	-999	-999	
358	20521	11	-999	-999	-999	-999	-999	-999	
360	20582	13	4.259	0.332	4.384	2.655	21.6	2.629	
362	20642	12	-999	-999	-999	-999	-999	-999	
364	20702	12	-999	-999	-999	-999	-999	-999	
365	20732	-999	6.753	0.021	4.342	2.855	22.41	2.544	
366	20763	13	-999	-999	-999	-999	-999	-999	
368	20823	11	-999	-999	-999	-999	-999	-999	
370	20883	6	1.839	-0.976	3.166	-999	-999	2.299	
372	20943	11	-999	-999	-999	-999	-999	-999	
374	21004	10	-999	-999	-999	-999	-999	-999	
375	21034	-999	0.754	0.678	4.412	2.524	21.04	3.414	
376	21064	11	-999	-999	-999	-999	-999	-999	
378	21124	12	-999	-999	-999	-999	-999	-999	
380	21184	14	7.994	-0.086	4.156	2.527	21.05	2.811	
382	21245	12	-999	-999	-999	-999	-999	-999	
384	21305	12	-999	-999	-999	-999	-999	-999	
385	21335	-999	12.641	0.043	4.434	2.795	22.17	1.935	
386	21365	12	-999	-999	-999	-999	-999	-999	
388	21425	8	-999	-999	-999	-999	-999	-999	
390	21486	14	0.198	0.783	4.395	2.668	21.65	-999	
392	21546	14	-999	-999	-999	-999	-999	-999	
394	21606	14	-999	-999	-999	-999	-999	-999	
395	21636	-999	8.512	0.061	4.192	2.501	20.94	2.978	
396	21667	12	-999	-999	-999	-999	-999	-999	
398	21727	14	-999	-999	-999	-999	-999	-999	
400	21787	14	2.152	0.601	4.795	3.335	24.13	2.802	
402	21847	15	-999	-999	-999	-999	-999	-999	
404	21908	12	-999	-999	-999	-999	-999	-999	
405	21938	-999	1.101	0.559	-999	3.098	23.31	3.749	
406	21968	14	-999	-999	-999	-999	-999	-999	
408	22028	12	-999	-999	-999	-999	-999	-999	
410	22088	12	4.597	-0.347	3.947	3.282	23.96	2.443	
412	22149	14	-999	-999	-999	-999	-999	-999	
414	22209	11	-999	-999	-999	-999	-999	-999	
415	22239	-999	1.887	0.342	4.581	3.631	25.08	2.198	
416	22269	11	-999	-999	-999	-999	-999	-999	
418	22330	20	-999	-999	-999	-999	-999	-999	
420	22390	20	0.389	0.131	4.481	3.463	24.55	-999	
422	22450	10	-999	-999	-999	-999	-999	-999	
424	22510	11	-999	-999	-999	-999	-999	-999	
425	22540	-999	2.108	-0.334	4.687	2.779	22.11	-999	
426	22571	11	-999	-999	-999	-999	-999	-999	
428	22631	11	-999	-999	-999	-999	-999	-999	
430	22691	13	5.501	-0.24	4.361	2.895	22.56	-999	
432	22751	19	-999	-999	-999	-999	-999	-999	
434	22812	18	-999	-999	-999	-999	-999	-999	
435	22842	-999	5.307	-0.019	4.25	2.857	22.42	-999	
436	22872	14	-999	-999	-999	-999	-999	-999	
438	22932	15	-999	-999	-999	-999	-999	-999	
440	22992	15	8.545	0.368	4.269	2.892	22.55	-999	
442	23053	16	-999	-999	-999	-999	-999	-999	
444	23113	16	-999	-999	-999	-999	-999	-999	
445	23143	-999	8.218	-0.076	4.235	3.287	23.97	-999	
446	23173	11	-999	-999	-999	-999	-999	-999	
448	23234	9	10.332	0.006	4.261	2.823	22.28	-999	
450	23294	12	-999	-999	-999	-999	-999	-999	
452	23354	14	0.916	0.65	4.671	3.429	24.44	-999	
454	23414	12	-999	-999	-999	-999	-999	-999	
455	23444	-999	-999	-0.081	4.244	3.262	23.89	-999	
456	23475	12	-999	-999	-999	-999	-999	-999	
458	23535	14	-999	-999	-999	-999	-999	-999	
460	23595	13	0.904	1.007	4.036	3.135	23.45	-999	
462	23655	14	-999	-999	-999	-999	-999	-999	
464	23716	13	-999	-999	-999	-999	-999	-999	
465	23746	-999	-999	0.27	3.905	3.432	24.45	-999	
466	23776	14	-999	-999	-999	-999	-999	-999	
468	23836	15	-999	-999	-999	-999	-999	-999	
470	23897	19	4.018	0.903	3.939	2.883	22.52	-999	
472	23957	17	-999	-999	-999	-999	-999	-999	
474	24017	16	-999	-999	-999	-999	-999	-999	
475	24047	-999	3.222	0.5	4.014	3.02	23.03	-999	
476	24077	15	-999	-999	-999	-999	-999	-999	
478	24138	19	-999	-999	-999	-999	-999	-999	
480	24198	20	0.955	0.745	3.93	2.942	22.74	-999	
482	24258	21	-999	-999	-999	-999	-999	-999	
484	24318	24	-999	-999	-999	-999	-999	-999	
485	24349	-999	1.093	0.033	4.185	3.208	23.7	-999	
486	24379	15	-999	-999	-999	-999	-999	-999	
488	24439	13	-999	-999	-999	-999	-999	-999	
490	24499	14	1.625	-0.166	3.873	3.212	23.72	-999	
492	24559	17	-999	-999	-999	-999	-999	-999	
494	24620	17	-999	-999	-999	-999	-999	-999	
495	24650	-999	1.151	0.099	4.071	2.961	22.81	-999	
496	24680	17	-999	-999	-999	-999	-999	-999	
498	24740	18	-999	-999	-999	-999	-999	-999	
500	24801	15	3.63	0.412	4.29	3.305	24.03	-999	
502	24861	16	-999	-999	-999	-999	-999	-999	
504	24921	20	-999	-999	-999	-999	-999	-999	
505	24951	-999	4.704	0.753	4.278	2.953	22.78	-999	
506	24981	19	-999	-999	-999	-999	-999	-999	
508	25042	23	-999	-999	-999	-999	-999	-999	
510	25102	20	2.445	0.283	4.24	3.163	23.55	-999	
512	25162	24	-999	-999	-999	-999	-999	-999	
