Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions 

LAST UPDATE: 1/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, 
R. Gersonde, and G.H. Haug. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-006 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Martínez-Garcia, A., et al. 2010. 
Subantarctic Atlantic and Subarctic Pacific 3.6 Ma Alkenone SST Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-006. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE:  
Martínez-Garcia, A., A. Rosell-Melé, E.L. McClymont, R. Gersonde, 
and G.H. Haug. 2010. 
Subpolar Link to the Emergence of the Modern Equatorial Pacific 
Cold Tongue. 
Science, Vol. 328, No. 5985, pp. 1550-1553, 18 June 2010. 
DOI:10.1126/science.1184480 

ABSTRACT:
The cold upwelling "tongue" of the eastern equatorial Pacific 
is a central energetic feature of the ocean, dominating both 
the mean state and temporal variability of climate in the tropics
and beyond. Recent evidence for the development of the modern 
cold tongue during the Pliocene-Pleistocene transition has been 
explained as the result of extratropical cooling that drove 
a shoaling of the thermocline. We have found that the sub-Antarctic 
and sub-Arctic regions underwent substantial cooling nearly 
synchronous to the cold tongue development, thereby providing 
support for this hypothesis. In addition, we show that sub-Antarctic 
climate changed in its response to Earth's orbital variations, 
from a subtropical to a subpolar pattern, as expected if cooling 
shrank the warm-water sphere of the ocean and thus contracted
the subtropical gyres. 


ADDITIONAL REFERENCES: 
Martínez-Garcia, A., A. Rosell-Melé, W. Geibert, R. Gersonde, 
P. Masqué, V. Gaspari, and C. Barbante. 2009. 
Links between iron supply, marine productivity, sea surface 
temperature, and CO2 over the last 1.1 Ma. 
Paleoceanography, 24, PA1207, doi:10.1029/2008PA001657.  



GEOGRAPHIC REGION: Sub-polar North Pacific and South Atlantic 
PERIOD OF RECORD: 3.6 Ma - present 
FUNDING SOURCES: 
Ministerio de Ciencia e Innovación, Spain, FPU grant to A.M.-G. 



DESCRIPTION: 
Two Subpolar paleotemperature records for the past 3.6 million years 
based on the analysis of alkenone unsaturation indices in marine 
sediments.  Cores are located in the sub-Arctic Pacific (ODP Site 882) 
and the sub-Antarctic Atlantic (ODP Site 1090).  The percentage of 
the C37:4 alkenone relative to the total abundance of C37 alkenones 
(%C37:4) in these records is an additional tracer that can be used 
to infer variations in the meridional extent of polar and subpolar 
conditions through time. 

ODP Site 882: 50°21'N, 167°35'E, water depth 3244m 
ODP Site 1090: 42°54.5'S, 8°54.0'E, water depth 3702m 




DATA: 
1. ODP 982 
Age(ka)     SST(ºC)    %C37:4
2705.88      17.29       1.47
2711.71      13.10       3.51
2716.18      14.35       3.46
2722.98      15.98       1.79
2728.61       8.65       7.08
2734.11       8.49       9.62
2736.85       7.77       8.63
2739.49       6.64       8.04
2742.14       6.76       7.03
2744.79       8.88       4.93
2747.43       9.97       3.68
2749.53       9.78       3.68
2752.64       8.95       3.41
2755.62       7.78       3.48
2758.68       7.38       3.62
2761.85       6.76       3.53
2764.36       6.89       3.54
2768.07       7.17       3.42
2771.13       7.51       3.20
2774.30       7.12       3.12
2777.35       7.33       2.91
2779.87       7.60       3.08
2783.58       7.67       2.68
2786.13       8.43       2.65
2788.30       7.95       2.42
2790.41       8.93       2.01
2792.13       8.64       2.02
2794.68       8.97       1.93
2796.86       8.75       2.30
2798.96       8.45       2.12
2801.14       8.36       2.58
2802.79       8.43       3.01
2805.42       8.21       3.40
2807.52       8.86       3.62
2811.08      10.04       5.34
2814.42      12.47       3.82
2817.25      12.53       4.58
2819.17      11.98       3.13
2821.58      10.96       2.67
2823.92      13.15       2.96
2826.33      10.95       2.63
2829.17      10.83       3.51
2831.08       9.83       3.86
2833.42      10.42       3.43
2835.67       9.89       3.72
2838.58      11.19       3.05
2841.00      12.55       2.38
2843.42      10.44       3.79
2846.02      11.98       3.03
2848.23      10.99       4.76
2851.44      10.15       6.11
2854.11      12.47       5.73
2856.77      12.80       4.85
2859.44      12.90       5.77
2861.55      11.07       6.24
2864.77      11.74       3.64
2867.43      10.76       3.88
2870.19      12.40       3.91
2872.85      10.13       3.48
2874.97      12.00       4.55
2878.16      11.26       2.98
2880.45      14.25       2.83
2882.74      11.18       3.62
2885.11      12.02       4.55
2886.92      11.15       5.23
2889.68      15.57       2.23
2891.97      11.40       5.45
2894.26      10.71       3.93
2896.55      12.30       3.89
2898.37      10.40       4.77
2901.13      10.76       3.57
2903.42      10.50       4.60
2905.96       9.12       4.60
2907.34       9.64       4.44
2909.08       9.87       4.47
2910.82       9.14       4.24
2912.56       9.18       5.19
2914.61       8.14       6.09
2916.05       7.72       5.62
2917.79       7.96       5.72
2919.47       8.79       5.45
2921.27       9.74       4.60
2923.37      10.60       2.53
2924.09      11.53       3.38
2925.89      11.41       3.27
2927.27      12.51       2.79
2929.44      12.20       3.90
2931.24      12.28       2.71
2932.98      12.67       4.42
2934.78      10.95       5.34
2936.22      10.78       4.94
2938.29      10.92       7.07
2939.91      10.79       6.94
2941.60      11.39       4.93
2943.28      11.14       4.20
2944.62      11.79       4.35
2946.58      12.66       4.97
2948.27      12.14       4.60
2949.95      12.90       4.64
2951.57      12.63       6.01
2954.94      11.86       7.39
2956.62       8.83       7.36
2958.24      10.76       5.82
2959.92      11.16       4.85
2961.27      11.70       6.63
2963.23      11.61       3.99
2964.91      13.82       3.80
2966.59      12.65       3.75
2968.22      12.56       4.19
2969.85      11.45       4.57
2971.42      11.70       3.70
2973.04      13.34       3.15
2974.61      11.94       4.18
2976.24      11.73       3.61
2979.09      10.34       6.54
2981.13      10.05       7.41
2983.03       9.00       6.02
2984.94       9.80       6.81
2986.85      10.98       6.48
2988.37      10.89       5.82
2990.66      10.95       4.90
2992.57      11.40       4.64
2994.48      11.84       3.38
2996.38      12.17       3.44
2997.91      11.12       3.13
3000.20      10.55       3.61
3002.10       9.86       4.44
3004.01       9.30       4.86
3005.92       9.06       8.06
3007.42      10.38       7.98
3009.60       9.66       7.80
3011.42       8.90       7.92
3013.23      11.06       5.97
3015.05      10.29       5.28
3016.50      10.40       3.66
3018.68      10.88       5.28
3020.50      12.34       4.32
3022.31      12.18       4.47
3024.13      11.85       5.09
3025.58      12.59       5.09
3040.16      11.80       3.41
3207.02      11.71       2.48
3223.84      11.18       2.50
3243.89      13.27       3.30
3278.15       7.42       8.42
3303.25       9.38       5.13
3325.28      11.99       3.11
3358.79      11.67       4.06
3394.78      13.21       2.98
3416.12      15.60       2.25
3444.67      14.25       2.04
3470.38      14.11       1.09
3491.63      13.93       1.40
3564.01      12.43       2.03
3583.84      12.29       1.37
3600.11      12.70       1.37
3623.04      14.06       0.74
3638.88      10.07       2.28






2. ODP1090 

Age(ka)     SST(ºC)     %C37:4
0.00         10.96       4.50
1.00         13.38       0.00
2.00         13.57       0.00
5.80         14.51       0.00
8.20         14.46       0.00
13.40         9.03       9.23
15.90         8.03      11.30
16.20         8.13      11.20
17.40         9.09      10.68
29.25         8.11      12.75
33.69         7.18      12.63
34.38         4.94      15.52
35.76         6.56      11.48
43.36         6.53       7.05
45.43         6.86       6.86
46.12         7.58       6.45
49.57         8.00       7.99
52.33         9.10       6.35
56.48        10.21       7.44
59.93         9.13       8.16
61.31         9.04      10.05
64.28         7.80       8.10
65.04         8.52       8.04
74.92         7.79      13.13
79.48         9.46       9.02
84.00        10.01       8.45
88.45        11.04       4.37
91.35        10.20       7.72
96.43        10.99       7.07
107.30       11.06       6.17
117.50       12.96       2.81
120.00       13.62       2.57
124.00       15.83       0.00
129.90       17.14       0.00
135.44        9.54      10.57
138.11        5.59      11.85
140.78        8.37       8.86
143.89        9.67       6.41
146.56        9.51       9.44
148.78        8.89      10.16
151.44        8.30      10.59
153.22        8.00      11.51
155.80        6.30      12.35
157.40        8.38      10.55
159.80        6.58      12.84
161.40        6.78      13.27
163.80        6.85      13.38
164.20        6.31      13.78
165.40        5.75      15.63
168.20        9.04      10.33
173.00        8.95       9.48
179.00        7.65      13.79
181.40        7.93      13.69
188.52        7.78      13.72
194.68       10.63       9.81
197.32       10.90       8.45
201.28       11.74       3.14
203.48        9.79       8.60
207.80       10.96       8.88
209.80       11.22       8.04
215.40       10.35       9.59
218.80       12.70       2.86
221.20       11.81       6.79
223.60       10.04       8.71
229.40       11.63       5.92
232.20       11.15       8.13
237.80        9.63       8.67
242.90       10.22       8.25
