Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction
LAST UPDATE: 4/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: Matthew W. Schmidt, University of California Davis
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-038


SUGGESTED DATA CITATION: Schmidt, M.W., et al. 2006. 
Western Caribbean ODP 999A Mg/Ca and d18O Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-038.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: Schmidt, M.W., M.J. Vautravers, and H.J. Spero. 2006.
Western Caribbean sea surface temperatures during the late Quaternary.  
Geochemistry Geophysics Geosystems, vol. 7, no. 2, Q02P10.
doi:10.1029/2005GC000957.
 
ABSTRACT: 
Mg/Ca ratios in the planktonic foraminifera Globigerinoides ruber from 
Colombian Basin core ODP 999A suggest that Caribbean sea surface temperatures 
(SSTs) were from 2.1 to 2.7°C colder than the present during the last three 
glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) show that 
August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas 
February SSTs varied between 21.0°C and 26.5°C. Changes in the Mg/Ca-SST record 
contain a strong 23 kyr periodicity, suggesting the Mg/Ca-SST record reflects 
a warm season weighted SST average rather than an annual mean SST. Combining 
several dissolution indices, we identify brief periods of decreased carbonate 
preservation in our record and show that MIS 11 stands out as the most intensive 
dissolution cycle in the Caribbean over the last 460 kyr. Comparison of Caribbean 
SST change with a similar estimate of tropical SST variability in the western 
Pacific over the past 360 kyr reveals shifts in the east-west tropical SST gradient 
that are coeval with glacial-interglacial climate change and consistent both with 
a southward migration of the glacial ITCZ and with a glacial El Niño-like mode of 
tropical circulation.


GEOGRAPHIC REGION: Western Caribbean, Colombian Basin 
PERIOD OF RECORD: 475 - 3 KYrBP


DESCRIPTION: 
Western Caribbbean SST's derived from OPD999A Globigerinoides ruber Mg/Ca d18O ratios.  
Caribbean sea surface temperatures (SSTs) were from 2.1 to 2.7°C colder than the present 
during the last three glacial maximums. In comparison, faunal derived SSTs (SIMMAX method) 
show that August SSTs in the Caribbean varied <2°C over the past 360 kyr, whereas February 
SSTs varied between 21.0°C and 26.5°C.  

Core ODP 999A:  12 deg. 45' N, 78 deg. 44' W, 2827m. depth.



DATA:
1. ODP 999A isotope, Mg/Ca, and SST data

 Depth       Age       d18Oc      Mg/Ca      SST(oC)
  1230     319.00      -1.30      3.517      26.43
  1236     321.00      -1.56      3.505      26.39
1240.5     322.50      -1.54      3.539      26.50
  1245     324.00      -1.63      3.655      26.86
  1248     325.00      -1.49      3.713      27.04
  1250     325.67      -1.76      3.714      27.04
  1258     328.33      -1.64      3.895      27.57
1261.5     329.50      -1.73      3.863      27.48
  1266     331.00      -1.63      3.985      27.82
  1270     331.96      -1.74      4.216      28.45
  1277     333.64      -1.63      4.015      27.90
  1281     334.60      -1.28      3.779      27.23
  1286     335.80      -0.92      3.844      27.42
  1290     336.76      -0.79      4.260      28.56
  1296     338.20      -0.85      3.798      27.29
1300.5     339.28      -0.49      4.020      27.92
  1306     340.60      -0.48      3.718      27.05
  1310     341.56      -0.32      3.844      27.42
  1316     343.00      -0.14      3.703      27.01
1320.5     344.02      -0.20      3.683      26.94
  1326     345.27      -0.37      3.549      26.53
  1330     346.17      -0.37      3.554      26.55
  1336     347.53      -0.46
  1340     348.44      -0.41      3.720      27.06
  1346     349.80      -0.53      3.555      26.55
  1350     350.71      -0.48      3.887      27.54
  1356     352.07      -0.27      4.082      28.09
  1361     353.20      -0.53      3.945      27.71
  1366     354.33      -0.48      3.869      27.49
1370.5     355.35      -0.38      3.661      26.88
  1376     356.60      -0.53      3.941      27.70
  1381     357.73      -0.39      3.974      27.79
  1386     358.87      -0.60      4.081      28.09
  1391     360.00      -0.77      3.772      27.21
  1396     361.81      -0.75      3.881      27.53
  1398     362.53                 3.590      26.66
  1401     363.62      -0.72      3.803      27.30
  1406     365.43      -0.78      3.707      27.02
  1411     367.24      -0.75      3.529      26.47
  1416     369.05      -0.87      3.411      26.09
1420.5     370.68      -1.03      3.392      26.03
  1426     372.67      -0.93
1430.5     374.30      -1.05      3.394      26.04
  1436     376.29      -0.96      3.359      25.92
1440.5     377.91      -1.02      3.426      26.14
  1446     379.90      -1.17
1450.5     381.53      -1.33      3.257      25.58
  1456     383.52      -1.11
1460.5     385.15      -1.11      3.302      25.73
  1466     387.14      -1.13      3.393      26.03
1470.5     388.77      -1.18      3.686      26.95
  1476     390.76      -1.30      3.288      25.69
1480.5     392.39      -1.06      3.534      26.49
  1486     394.38      -0.94      3.389      26.02
1490.5     396.01      -1.03      3.641      26.82
  1496     398.00      -1.08      3.620      26.75
  1500     399.45      -1.42      3.595      26.68
  1506     401.62      -1.48
  1516     405.24      -1.15      3.590      26.66
1520.5     406.87      -1.37      3.502      26.39
  1526     408.86      -1.53
  1530     410.30      -1.54      3.551      26.54
  1536     412.48      -1.58
1540.5     414.10      -1.53      3.422      26.13
  1548     416.82      -1.28
  1550     417.54      -1.22      3.452      26.22
  1556     419.71      -1.23      3.769      27.20
1560.5     421.34      -1.01      3.472      26.29
  1566     423.33      -1.10      3.731      27.09
1570.5     424.96      -0.90      3.693      26.97
  1576     426.95      -0.69      3.607      26.71
  1581     428.76      -0.83      3.621      26.76
  1586     430.57      -0.70      4.083      28.09
  1592     432.74      -0.33      3.884      27.54
  1596     434.19      -0.09      3.783      27.24
  1601     436.00      -0.18      3.750      27.14
  1606     437.61       0.06      3.542      26.51
  1610     438.90      -0.09      3.509      26.41
  1616     440.83      -0.06      3.758      27.17
  1621     442.44      -0.04      3.628      26.78
  1626     444.06       0.13      3.478      26.31
  1630     445.34      -0.14      3.702      27.00
  1636     447.28      -0.27      3.702      27.00
  1641     448.89      -0.10      3.573      26.61
  1646     450.50                 3.653      26.86
  1650     451.79      -0.18      3.805      27.31
  1656     453.72      -0.43      3.714      27.04
