# NOAA Paleoclimatology Program - Paleocean Site Data
# o806b-mm-tab.txt
# Complete Data
# File Created: 19-Mar-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Martin Medina-Elizalde
# Core/Site:      ODP806B
# Latitude:       0.19.04N	( 0.31778)
# Longitude:      159.21.25E	( 159.3569)
# Water Depth(m): 2520
#
# Publications:
#   Medina-Elizalde, M., D.W. Lea, and M.S. Fantle. 2008. Implications of seawater
#     Mg/Ca variability for Plio-Pleistocene tropical climate reconstruction. Earth
#     and Planetary Science Letters, 269(3-4), 585-595.
#------------------
#
# Description & Notes:
#   Plio-Pleistocene Seawater Mg/Ca Variability Data and SST reconstruction
#   All Mg/Ca data from Wara et al., 2005, Science
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             Mg/Ca-g.sac   Magnesium/Calcium ratio (Globigerinoides sacculifer) (mmol/mol)
#             sst-mg/ca     Sea surface temperature from Mg/Ca
#             sst-mg/ca.adj Sea surface temperature from Mg/Ca adjusted for Mg/Ca variation
#
# CORE: ODP806B
depth	yrBP 	Mg/Ca-g.sac	sst-mg/ca	sst-mg/ca.adj	
-999	2964000	3.7	28.491	29.851	
-999	2976000	3.409	27.582	28.969	
-999	2988000	3	26.161	27.576	
-999	3000000	3.082	26.46	27.903	
-999	3012000	3.3	27.22	28.693	
-999	3024000	3.491	27.845	29.347	
-999	3036000	3.533	27.979	29.511	
-999	3048000	3.5	27.874	29.435	
-999	3060000	3.4	27.552	29.142	
-999	3072000	3.417	27.606	29.226	
-999	3084000	3.591	28.159	29.808	
-999	3096000	3.522	27.944	29.624	
-999	3108000	3.6	28.187	29.896	
-999	3120000	3.75	28.641	30.379	
-999	3132000	3.627	28.271	30.039	
-999	3144000	3.733	28.591	30.389	
-999	3156000	3.65	28.34	30.167	
-999	3168000	3.3	27.22	29.077	
-999	3180000	3.709	28.519	30.405	
-999	3192000	3.675	28.416	30.332	
-999	3204000	3.908	29.1	31.045	
-999	3216000	3.936	29.18	31.154	
-999	3228000	3.456	27.732	29.736	
-999	3240000	3.818	28.841	30.875	
-999	3252000	3.45	27.714	29.778	
-999	3264000	3.518	27.932	30.026	
-999	3276000	3.665	28.386	30.51	
-999	3288000	3.605	28.202	30.358	
-999	3300000	3.783	28.739	30.925	
-999	3312000	3.3	27.22	29.436	
-999	3324000	3.1	26.526	28.772	
-999	3336000	3.8	28.788	31.065	
-999	3348000	3.727	28.573	30.881	
-999	3360000	3.683	28.441	30.78	
-999	3372000	3.612	28.226	30.594	
-999	3384000	3.65	28.34	30.739	
-999	3396000	3.618	28.243	30.673	
-999	3408000	3.827	28.867	31.327	
-999	3420000	3.783	28.739	31.229	
-999	3432000	3.65	28.34	30.86	
-999	3444000	3.7	28.491	31.042	
-999	3456000	3.8	28.788	31.368	
-999	3468000	3.944	29.202	31.812	
-999	3480000	3.536	27.989	30.628	
-999	3492000	3.642	28.315	30.984	
-999	3504000	3.836	28.894	31.593	
-999	3516000	3.8	28.788	31.515	
-999	3528000	3.536	27.989	30.744	
-999	3540000	3.5	27.874	30.658	
-999	3552000	3.227	26.973	29.785	
-999	3564000	3.58	28.125	30.965	
-999	3576000	3.3	27.22	30.088	
-999	3588000	3.655	28.354	31.25	
-999	3600000	3.933	29.171	32.095	
-999	3612000	3.973	29.282	32.234	
-999	3624000	4.233	29.988	32.968	
-999	3636000	4.036	29.458	32.467	
-999	3648000	3.4	27.552	30.589	
-999	3660000	2.95	25.975	29.039	
-999	3672000	3.55	28.032	31.124	
-999	3684000	3.983	29.311	32.432	
-999	3696000	3.918	29.128	32.276	
-999	3708000	3.3	27.22	30.396	
-999	3720000	3.709	28.519	31.723	
-999	3732000	4	29.358	32.589	
-999	3744000	3.733	28.591	31.851	
-999	3756000	4.2	29.9	33.181	
-999	3768000	3.8	28.788	32.083	
-999	3780000	3.378	27.479	30.788	
-999	3792000	3.625	28.264	31.588	
-999	3804000	3.419	27.613	30.951	
-999	3816000	3.644	28.321	31.673	
-999	3828000	3.5	27.874	31.24	
-999	3840000	3.5	27.874	31.255	
-999	3852000	3.488	27.837	31.231	
-999	3864000	3.418	27.609	31.018	
-999	3876000	3.412	27.593	31.016	
-999	3888000	3.75	28.641	32.078	
-999	3900000	3.525	27.953	31.405	
-999	3912000	3.478	27.803	31.269	
-999	3924000	3.5	27.874	31.354	
-999	3936000	3.7	28.491	31.986	
-999	3948000	3.4	27.552	31.061	
-999	3960000	3.488	27.834	31.357	
-999	3972000	3.65	28.34	31.877	
-999	3984000	3.675	28.416	31.967	
-999	3996000	3.433	27.66	31.226	
-999	4008000	3.3	27.22	30.786	
-999	4020000	3.375	27.47	31.03	
-999	4032000	3.5	27.874	31.427	
-999	4044000	3.5	27.874	31.421	
-999	4056000	3.325	27.304	30.845	
-999	4068000	3.25	27.051	30.585	
-999	4080000	3.5	27.874	31.402	
-999	4092000	3.241	27.02	30.542	
-999	4104000	3.1	26.526	30.041	
-999	4116000	3.325	27.304	30.813	
-999	4128000	3.2	26.878	30.381	
-999	4140000	3.438	27.674	31.17	
-999	4152000	3.512	27.914	31.403	
-999	4164000	3.067	26.405	29.888	
-999	4176000	3.55	28.032	31.508	
-999	4188000	3.5	27.874	31.344	
-999	4200000	3.3	27.22	30.683	
-999	4212000	3	26.161	29.617	
-999	4224000	3.1	26.526	29.975	
-999	4236000	3.162	26.747	30.19	
-999	4248000	3.275	27.136	30.571	
-999	4260000	3.1	26.526	29.942	
-999	4272000	3.2	26.878	30.274	
-999	4284000	2.9	25.785	29.16	
-999	4296000	3.1	26.526	29.88	
-999	4308000	3.288	27.178	30.512	
-999	4320000	3.45	27.714	31.027	
-999	4332000	3.25	27.051	30.342	
-999	4344000	3.156	26.723	29.994	
-999	4356000	3.433	27.66	30.91	
-999	4368000	3.55	28.032	31.26	
-999	4380000	2.9	25.785	28.992	
-999	4392000	3.1	26.526	29.712	
-999	4404000	3.675	28.416	31.581	
-999	4416000	3.4	27.552	30.695	
-999	4428000	2.862	25.64	28.762	
-999	4440000	3.05	26.345	29.446	
-999	4452000	3.267	27.107	30.187	
-999	4464000	3.06	26.381	29.439	
-999	4476000	3.167	26.762	29.798	
-999	4488000	3.562	28.071	31.086	
-999	4500000	3.4	27.552	30.545	
-999	4512000	2.912	25.832	28.799	
-999	4524000	3.4	27.552	30.491	
-999	4536000	3.55	28.032	30.944	
-999	4548000	3.3	27.22	30.105	
