# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1020_sytr-tab.txt
# SYNTRACE data only
# File Created: 23-Apr-2009
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Timothy D. Herbert
# Core/Site:      ODP1020
# Latitude:       41.00.03N	( 41.00083)
# Longitude:      126.26.01W	( -126.4336)
# Water Depth(m): 3042
#
# Publications:
#   Herbert, T.D., J.D. Schuffert, D. Andreasen, L. Heusser, M. Lyle, A. Mix,  A.C.
#     Ravelo, L.D. Stott, and J.C. Herguera, 2001, Collapse of the California current
#     during glacial maxima linked to climate change on land, Science v. 293: p71-76.
#   Herbert, T.D., J.D. Schuffert, D. Thomas, K. Lange, A. Weinheimer, and J.-C.
#     Herguera, 1998, Depth and seasonality of alkenone production along the California
#     margin inferred from a core-top transect, Paleoceanography, v. 13, p. 263-271.
#   Heusser, L.E., M. Lyle and A.C. Mix. 2000. Vegetation and climate of the northwest
#     coast of North America during the last 500 k.y.: High resolution pollen evidence
#     from the northern California margin, In Lyle, M., I. Koizumi, C. Richter, and
#     T.C. Moore Jr
#------------------
#
# Description & Notes:
#   California Current Reconstruction from Benthic Isotopes and Alkenone Temperatures
#   Isotope Data analytical error is ~0.1 per mil. The Uk'37 data have an analytical
#   precision equal to +- 0.15 Degrees Celsius. The age model comes from tuning benthic
#   delta 18O to an orbital age model.
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37      Sea Surface Temperature from Uk'37
#             uk37          Alkenone saturation index
#
# CORE: ODP1020
depth	calyrBP 	sst-uk37	uk37	notes
4041	369505.2	7.493	0.219	1020C 5H-3 100
4066	372070.1	7.282	0.256	1020C 5H-3 125
4091	374635.1	8.029	0.257	1020C 5H-4 0
4116	377200	6.616	0.264	1020C 5H-4 25
4141	379764.9	8.043	0.312	1020C 5H-4 50
4166	382329.9	8.145	0.316	1020C 5H-4 75
4191	384894.8	7.38	0.29	1020C 5H-4 100
4216	387459.7	8.048	0.313	1020C 5H-4 125
4241	390024.7	7.879	0.307	1020C 5H-5 0
4266	392589.6	9.707	0.369	1020C 5H-5 25
4291	395100	10.696	0.403	1020C 5H-5 50
4316	397600	12.746	0.472	1020C 5H-5 75
4341	400100	13.983	0.514	1020C 5H-5 100
4366	404360	13.07	0.483	1020C 5H-5 125
4391	409610	12.703	0.471	1020C 5H-6 0
4416	414860	12.693	0.471	1020C 5H-6 25
4441	420110	12.169	0.453	1020C 5H-6 50
4466	423018.2	9.468	0.361	1020C 5H-6 75
4491	424609.1	7.025	0.278	1020C 5H-6 100
4516	426200	5.672	0.232	1020C 5H-6 125
4568	429881.9	6.85	0.272	1020D 5H-3 25
4593	432637.8	5.357	0.221	1020D 5H-3 50
4618	435393.7	5.504	0.226	1020D 5H-3 74
4644	438259.8	6.271	0.252	1020D 5H-3 100
4668	440905.5	6.559	0.262	1020D 5H-3 124
4688	443087.8	7.542	0.295	1020D 5H-3 144
4694	443614.3	7.652	0.299	1020D 5H-4 0
4718	445720.6	8.683	0.334	1020D 5H-4 24
4744	448002.3	7.747	0.302	1020D 5H-4 50
4762	449582	7.027	0.278	1020C 6H-1 50
4768	450108.5	6.191	0.25	1020D 5H-4 74
4787	451776	5.743	0.234	1020C 6H-1 75
4812	453970	6.659	0.265	1020C 6H-1 100
4837	456164	6.84	0.272	1020C 6H-1 125
4862	458358	4.885	0.205	1020C 6H-2 0
4887	460552	6.881	0.273	1020C 6H-2 25
4912	462746	7.932	0.309	1020C 6H-2 50
4937	464940	7.472	0.293	1020C 6H-2 75
4962	467133.9	6.349	0.255	1020C 6H-2 100
4987	469327.9	7.414	0.291	1020C 6H-2 125
5012	471521.9	8.509	0.328	1020C 6H-3 0
5037	473715.9	8.532	0.329	1020C 6H-3 25
5062	475909.9	6.979	0.276	1020C 6H-3 50
5087	478103.9	9.061	0.347	1020C 6H-3 75
5112	480297.9	7.322	0.288	1020C 6H-3 100
5137	482950.8	9.294	0.355	1020C 6H-3 125
5162	485819.7	9.579	0.365	1020C 6H-4 0
5187	488688.5	9.675	0.368	1020C 6H-4 25
5212	491557.4	10.1	0.382	1020C 6H-4 50
5237	494426.2	10.204	0.386	1020C 6H-4 75
5262	497295.1	9.931	0.377	1020C 6H-4 100
5287	500163.9	9.403	0.359	1020C 6H-4 125
5312	503032.8	9.279	0.354	1020C 6H-5 0
5337	505901.6	7.737	0.302	1020C 6H-5 25
5362	508770.5	8.892	0.341	1020C 6H-5 50
5387	511639.3	10.038	0.38	1020C 6H-5 75
5412	514508.2	9.637	0.367	1020C 6H-5 100
5437	517377	10.03	0.38	1020C 6H-5 125
5462	520245.9	10.132	0.383	1020C 6H-6 0
5487	523132.5	8.387	0.324	1020C 6H-6 25
5512	526445	10.062	0.381	1020C 6H-6 50
5537	529757.5	9.451	0.36	1020C 6H-6 75
5562	533070	7.048	0.279	1020C 6H-6 100
5587	536382.5	7.19	0.283	1020C 6H-6 125
5612	539324.7	8.042	0.312	1020C 6H-7 0
5628	540457.3	8.609	0.332	1020D 6H-3 50
5637	541094.4	7.976	0.31	1020C 6H-7 25
5652	542156.2	8.666	0.334	1020D 6H-3 74
5662	542864	7.507	0.294	1020C 6H-7 50
5678	543996.6	7.994	0.311	1020D 6H-3 100
5687	544633.7	7.853	0.306	1020C 6H-7 75
5702	545695.5	8.082	0.314	1020D 6H-3 124
5722	547111.2	8.328	0.322	1020D 6H-3 144
5728	547536	7.987	0.311	1020D 6H-4 0
5752	549234.8	7.492	0.294	1020D 6H-4 24
5754	549376.4	7.113	0.281	1020C 7H-1 100
5776	550933.7	8.267	0.32	1020D 6H-4 50
5779	551146.1	9.795	0.372	1020C 7H-1 125
5804	553897.4	9.003	0.345	1020C 7H-2 0
5829	556894.2	10.178	0.385	1020C 7H-2 25
5854	559891	7.409	0.291	1020C 7H-2 50
5879	562887.8	9.607	0.366	1020C 7H-2 75
5904	565884.6	10.546	0.398	1020C 7H-2 100
5929	568881.4	12.333	0.458	1020C 7H-2 125
5954	571624.8	11.776	0.439	1020C 7H-3 0
5979	574169	12.474	0.463	1020C 7H-3 25
6004	576713.3	8.567	0.33	1020C 7H-3 50
6029	579257.5	8.51	0.328	1020C 7H-3 75
6054	581801.8	9.608	0.366	1020C 7H-3 100
6079	584346	8.467	0.327	1020C 7H-3 125
6104	586890.3	8.235	0.319	1020C 7H-4 0
6129	589434.5	9.966	0.378	1020C 7H-4 25
