# NOAA Paleoclimatology Program - Paleocean Site Data
# gb10083-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Ralph R. Schneider
# Core/Site:      GeoB10083
# Latitude:       6.34.54S	( -6.58167)
# Longitude:      10.19.06E	( 10.31833)
# Water Depth(m): 3124
#
# Publications:
#   Schneider, R.R., P.J. Mueller, and G. Ruhland. 1995. Late Quaternary surface
#     circulation in the east-equatorial South Atlantic: evidence from alkenone sea
#     surface temperatures. Paleoceanography 10:197-219.
#------------------
#
# Description & Notes:
#   South Atlantic circulation during the late Quaternary.
#   Geosciences Bremen SST estimates derived from the alkenone unsaturation index
#   (U-k-37, after Brassell et al, 1986) with the temperature calibration of PRAHL,
#   et al.(1988):SST=(Uk37-0.039)/0.034). SST & UK37 data measured 7/15/93.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.rub250-350            delta O18 PDB (Globigerinoides ruber 250-350 micron)
#             sst           Sea Surface Temperature (C)
#             uk37          Alkenone saturation index
#             d18Og.bull250-350           delta O18 PDB (Globigerina bulloides 250-350 micron)
#
# CORE: GeoB10083
depth	yrBP 	Analysis_Date	d18Og.rub250-350	d18Og.rub250-350_err	sst	sst_err	uk37	d18Og.bull250-350	d18Og.bull250-350_err	
908	139800	-999	-0.38	0.08	24.4	0.3	0.87	0.82	0.08	
913	140700	-999	-0.28	0.08	-999	-999	-999	-999	-999	
918	141500	-999	-0.65	0.08	24	0.3	0.854	0.4	0.08	
923	142400	-999	-0.52	0.08	-999	-999	-999	-999	-999	
928	143300	-999	-0.24	0.08	24.8	0.3	0.883	0.46	0.08	
933	144100	-999	-0.21	0.08	-999	-999	-999	-999	-999	
938	145000	-999	-0.54	0.08	24.4	0.3	0.869	0.7	0.08	
943	145800	-999	-0.09	0.08	-999	-999	-999	-999	-999	
948	146700	-999	-0.39	0.08	-999	-999	-999	0.37	0.08	
953	147600	-999	0.1	0.08	22.4	0.3	0.802	-999	-999	
958	148400	-999	-0.52	0.08	-999	-999	-999	0.63	0.08	
963	149300	-999	-0.08	0.08	-999	-999	-999	-999	-999	
968	150100	-999	-0.21	0.08	21.8	0.3	0.781	0.97	0.08	
973	151000	-999	-0.25	0.08	-999	-999	-999	-999	-999	
978	152500	-999	-0.2	0.08	22.6	0.3	0.808	1.01	0.08	
983	154100	-999	-0.4	0.08	-999	-999	-999	-999	-999	
988	155600	-999	-0.66	0.08	23.5	0.3	0.837	0.97	0.08	
993	157200	-999	-0.63	0.08	-999	-999	-999	-999	-999	
998	158700	-999	-0.53	0.08	22.9	0.3	0.818	0.97	0.08	
1003	160200	-999	-0.67	0.08	-999	-999	-999	-999	-999	
1008	161800	-999	-0.59	0.08	23.5	0.3	0.838	0.35	0.08	
1013	163300	-999	-0.95	0.08	-999	-999	-999	-999	-999	
1018	164800	-999	-1.28	0.08	25.1	0.3	0.894	-0.06	0.08	
1023	166400	-999	-1.49	0.08	-999	-999	-999	-999	-999	
1028	167900	-999	-1.01	0.08	24.6	0.3	0.876	-0.24	0.08	
1033	169500	-999	-1.37	0.08	-999	-999	-999	-999	-999	
1038	171000	-999	-1.26	0.08	25.1	0.3	0.893	-0.55	0.08	
1043	172500	-999	-1.07	0.08	-999	-999	-999	-999	-999	
1048	174000	-999	-0.83	0.08	25.1	0.3	0.893	-0.3	0.08	
1053	175500	-999	-1.3	0.08	-999	-999	-999	-999	-999	
1058	177000	-999	-1.45	0.08	24.5	0.3	0.873	-0.48	0.08	
1063	178500	-999	-1.39	0.08	-999	-999	-999	-999	-999	
1068	180000	-999	-0.73	0.08	25	0.3	0.889	0.52	0.08	
1073	181500	-999	-0.77	0.08	-999	-999	-999	-999	-999	
1078	183000	-999	-1.31	0.08	22.4	0.3	0.802	0.77	0.08	
1083	184500	-999	-0.9	0.08	24.5	0.3	0.871	0.7	0.08	
1093	187500	-999	-1.28	0.08	24.7	0.3	0.878	0.61	0.08	
1098	189000	-999	-0.83	0.08	23.9	0.3	0.853	0.32	0.08	
1103	190500	-999	-1.08	0.08	-999	-999	-999	-999	-999	
